time_s,mocap_time_s,source_id,target_id,desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,bearing_valid,bearing_error_rad,bearing_error_deg
0.000000,1785229867.368221283,car1,car6,0.000000000,1.000000000,0.000000000,-0.950993555,0.309210703,0.000000000,1,1.256433378,71.988330
0.000000,1785229867.368221283,car6,car1,0.000000000,-1.000000000,0.000000000,0.950993555,-0.309210703,0.000000000,1,1.256433378,71.988330
0.202810,1785229867.578390121,car1,car6,0.000000000,1.000000000,0.000000000,-0.950289936,0.311366406,0.000000000,1,1.254165750,71.858404
0.202810,1785229867.578390121,car6,car1,0.000000000,-1.000000000,0.000000000,0.950289936,-0.311366406,0.000000000,1,1.254165750,71.858404
0.404825,1785229867.768196344,car1,car6,0.000000000,1.000000000,0.000000000,-0.943291368,0.331965954,0.000000000,1,1.232409371,70.611856
0.404825,1785229867.768196344,car6,car1,0.000000000,-1.000000000,0.000000000,0.943291368,-0.331965954,0.000000000,1,1.232409371,70.611856
0.606778,1785229867.978327990,car1,car6,0.000000000,1.000000000,0.000000000,-0.936606922,0.350381896,0.000000000,1,1.212817510,69.489325
0.606778,1785229867.978327990,car6,car1,0.000000000,-1.000000000,0.000000000,0.936606922,-0.350381896,0.000000000,1,1.212817510,69.489325
0.808612,1785229868.178211689,car1,car6,0.000000000,1.000000000,0.000000000,-0.929229012,0.369504322,0.000000000,1,1.192320792,68.314949
0.808612,1785229868.178211689,car6,car1,0.000000000,-1.000000000,0.000000000,0.929229012,-0.369504322,0.000000000,1,1.192320792,68.314949
1.011522,1785229868.388431549,car1,car6,0.000000000,1.000000000,0.000000000,-0.910098004,0.414393079,0.000000000,1,1.143520499,65.518898
1.011522,1785229868.388431549,car6,car1,0.000000000,-1.000000000,0.000000000,0.910098004,-0.414393079,0.000000000,1,1.143520499,65.518898
1.213501,1785229868.588280916,car1,car6,0.000000000,1.000000000,0.000000000,-0.883447824,0.468529553,0.000000000,1,1.083170726,62.061111
1.213501,1785229868.588280916,car6,car1,0.000000000,-1.000000000,0.000000000,0.883447824,-0.468529553,0.000000000,1,1.083170726,62.061111
1.415161,1785229868.788175821,car1,car6,0.000000000,1.000000000,0.000000000,-0.851267437,0.524732074,0.000000000,1,1.018395982,58.349792
1.415161,1785229868.788175821,car6,car1,0.000000000,-1.000000000,0.000000000,0.851267437,-0.524732074,0.000000000,1,1.018395982,58.349792
1.617038,1785229868.978205919,car1,car6,0.000000000,1.000000000,0.000000000,-0.819531512,0.573034119,0.000000000,1,0.960592983,55.037924
1.617038,1785229868.978205919,car6,car1,0.000000000,-1.000000000,0.000000000,0.819531512,-0.573034119,0.000000000,1,0.960592983,55.037924
1.819087,1785229869.188147306,car1,car6,0.000000000,1.000000000,0.000000000,-0.783298269,0.621646058,0.000000000,1,0.899953926,51.563562
1.819087,1785229869.188147306,car6,car1,0.000000000,-1.000000000,0.000000000,0.783298269,-0.621646058,0.000000000,1,0.899953926,51.563562
2.021759,1785229869.398234844,car1,car6,0.000000000,1.000000000,0.000000000,-0.743453509,0.668787619,0.000000000,1,0.838219480,48.026438
2.021759,1785229869.398234844,car6,car1,0.000000000,-1.000000000,0.000000000,0.743453509,-0.668787619,0.000000000,1,0.838219480,48.026438
2.223806,1785229869.598327875,car1,car6,0.000000000,1.000000000,0.000000000,-0.703500862,0.710694404,0.000000000,1,0.780311539,44.708558
2.223806,1785229869.598327875,car6,car1,0.000000000,-1.000000000,0.000000000,0.703500862,-0.710694404,0.000000000,1,0.780311539,44.708558
2.425484,1785229869.798186541,car1,car6,0.000000000,1.000000000,0.000000000,-0.672767367,0.739854087,0.000000000,1,0.737942879,42.281012
2.425484,1785229869.798186541,car6,car1,0.000000000,-1.000000000,0.000000000,0.672767367,-0.739854087,0.000000000,1,0.737942879,42.281012
2.627478,1785229869.998220682,car1,car6,0.000000000,1.000000000,0.000000000,-0.640690201,0.767799497,0.000000000,1,0.695396862,39.843305
2.627478,1785229869.998220682,car6,car1,0.000000000,-1.000000000,0.000000000,0.640690201,-0.767799497,0.000000000,1,0.695396862,39.843305
2.829433,1785229870.198169231,car1,car6,0.000000000,1.000000000,0.000000000,-0.607782442,0.794103585,0.000000000,1,0.653265067,37.429331
2.829433,1785229870.198169231,car6,car1,0.000000000,-1.000000000,0.000000000,0.607782442,-0.794103585,0.000000000,1,0.653265067,37.429331
3.031258,1785229870.408144474,car1,car6,0.000000000,1.000000000,0.000000000,-0.565577829,0.824694925,0.000000000,1,0.601133743,34.442426
3.031258,1785229870.408144474,car6,car1,0.000000000,-1.000000000,0.000000000,0.565577829,-0.824694925,0.000000000,1,0.601133743,34.442426
3.233649,1785229870.608188868,car1,car6,0.000000000,1.000000000,0.000000000,-0.526132333,0.850402710,0.000000000,1,0.554046091,31.744503
3.233649,1785229870.608188868,car6,car1,0.000000000,-1.000000000,0.000000000,0.526132333,-0.850402710,0.000000000,1,0.554046091,31.744503
3.435167,1785229870.808251619,car1,car6,0.000000000,1.000000000,0.000000000,-0.487574735,0.873081255,0.000000000,1,0.509309769,29.181300
3.435167,1785229870.808251619,car6,car1,0.000000000,-1.000000000,0.000000000,0.487574735,-0.873081255,0.000000000,1,0.509309769,29.181300
3.636865,1785229870.998262405,car1,car6,0.000000000,1.000000000,0.000000000,-0.451682194,0.892178904,0.000000000,1,0.468649930,26.851663
3.636865,1785229870.998262405,car6,car1,0.000000000,-1.000000000,0.000000000,0.451682194,-0.892178904,0.000000000,1,0.468649930,26.851663
3.839230,1785229871.208211422,car1,car6,0.000000000,1.000000000,0.000000000,-0.416346871,0.909205853,0.000000000,1,0.429423672,24.604164
3.839230,1785229871.208211422,car6,car1,0.000000000,-1.000000000,0.000000000,0.416346871,-0.909205853,0.000000000,1,0.429423672,24.604164
4.041462,1785229871.418186426,car1,car6,0.000000000,1.000000000,0.000000000,-0.380061428,0.924961248,0.000000000,1,0.389862707,22.337488
4.041462,1785229871.418186426,car6,car1,0.000000000,-1.000000000,0.000000000,0.380061428,-0.924961248,0.000000000,1,0.389862707,22.337488
4.244202,1785229871.608190775,car1,car6,0.000000000,1.000000000,0.000000000,-0.346284069,0.938129705,0.000000000,1,0.353607194,20.260200
4.244202,1785229871.608190775,car6,car1,0.000000000,-1.000000000,0.000000000,0.346284069,-0.938129705,0.000000000,1,0.353607194,20.260200
4.446366,1785229871.818267584,car1,car6,0.000000000,1.000000000,0.000000000,-0.290137468,0.956984979,0.000000000,1,0.294370481,16.866186
4.446366,1785229871.818267584,car6,car1,0.000000000,-1.000000000,0.000000000,0.290137468,-0.956984979,0.000000000,1,0.294370481,16.866186
4.648632,1785229872.018354416,car1,car6,0.000000000,1.000000000,0.000000000,-0.252457665,0.967607941,0.000000000,1,0.255219356,14.622992
4.648632,1785229872.018354416,car6,car1,0.000000000,-1.000000000,0.000000000,0.252457665,-0.967607941,0.000000000,1,0.255219356,14.622992
4.851036,1785229872.228167772,car1,car6,0.000000000,1.000000000,0.000000000,-0.206359436,0.978476256,0.000000000,1,0.207852844,11.909091
4.851036,1785229872.228167772,car6,car1,0.000000000,-1.000000000,0.000000000,0.206359436,-0.978476256,0.000000000,1,0.207852844,11.909091
5.052975,1785229872.428173542,car1,car6,0.000000000,1.000000000,0.000000000,-0.150908529,0.988547731,0.000000000,1,0.151487263,8.679581
5.052975,1785229872.428173542,car6,car1,0.000000000,-1.000000000,0.000000000,0.150908529,-0.988547731,0.000000000,1,0.151487263,8.679581
5.254862,1785229872.628231764,car1,car6,0.000000000,1.000000000,0.000000000,-0.100020734,0.994985353,0.000000000,1,0.100188259,5.740364
5.254862,1785229872.628231764,car6,car1,0.000000000,-1.000000000,0.000000000,0.100020734,-0.994985353,0.000000000,1,0.100188259,5.740364
5.456744,1785229872.828181982,car1,car6,0.000000000,1.000000000,0.000000000,-0.055188511,0.998475953,0.000000000,1,0.055216565,3.163676
5.456744,1785229872.828181982,car6,car1,0.000000000,-1.000000000,0.000000000,0.055188511,-0.998475953,0.000000000,1,0.055216565,3.163676
5.658730,1785229873.028145313,car1,car6,0.000000000,1.000000000,0.000000000,-0.019180148,0.999816044,0.000000000,1,0.019181324,1.099009
5.658730,1785229873.028145313,car6,car1,0.000000000,-1.000000000,0.000000000,0.019180148,-0.999816044,0.000000000,1,0.019181324,1.099009
5.860934,1785229873.228256941,car1,car6,0.000000000,1.000000000,0.000000000,-0.007940859,0.999968471,0.000000000,1,0.007940943,0.454983
5.860934,1785229873.228256941,car6,car1,0.000000000,-1.000000000,0.000000000,0.007940859,-0.999968471,0.000000000,1,0.007940943,0.454983
6.063002,1785229873.438219070,car1,car6,0.000000000,1.000000000,0.000000000,-0.003833153,0.999992653,0.000000000,1,0.003833163,0.219624
6.063002,1785229873.438219070,car6,car1,0.000000000,-1.000000000,0.000000000,0.003833153,-0.999992653,0.000000000,1,0.003833163,0.219624
6.264846,1785229873.638226032,car1,car6,0.000000000,1.000000000,0.000000000,-0.005435064,0.999985230,0.000000000,1,0.005435090,0.311408
6.264846,1785229873.638226032,car6,car1,0.000000000,-1.000000000,0.000000000,0.005435064,-0.999985230,0.000000000,1,0.005435090,0.311408
6.467010,1785229873.838194847,car1,car6,0.000000000,1.000000000,0.000000000,0.004396395,0.999990336,0.000000000,1,0.004396409,0.251896
6.467010,1785229873.838194847,car6,car1,0.000000000,-1.000000000,0.000000000,-0.004396395,-0.999990336,0.000000000,1,0.004396409,0.251896
6.668757,1785229874.038201571,car1,car6,0.000000000,1.000000000,0.000000000,0.001824356,0.999998336,0.000000000,1,0.001824357,0.104528
6.668757,1785229874.038201571,car6,car1,0.000000000,-1.000000000,0.000000000,-0.001824356,-0.999998336,0.000000000,1,0.001824357,0.104528
6.871257,1785229874.248201370,car1,car6,0.000000000,1.000000000,0.000000000,0.001394757,0.999999027,0.000000000,1,0.001394758,0.079914
6.871257,1785229874.248201370,car6,car1,0.000000000,-1.000000000,0.000000000,-0.001394757,-0.999999027,0.000000000,1,0.001394758,0.079914
7.073304,1785229874.448137283,car1,car6,0.000000000,1.000000000,0.000000000,0.008260684,0.999965880,0.000000000,1,0.008260778,0.473308
7.073304,1785229874.448137283,car6,car1,0.000000000,-1.000000000,0.000000000,-0.008260684,-0.999965880,0.000000000,1,0.008260778,0.473308
7.275424,1785229874.638374090,car1,car6,0.000000000,1.000000000,0.000000000,0.008756009,0.999961665,0.000000000,1,0.008756120,0.501689
7.275424,1785229874.638374090,car6,car1,0.000000000,-1.000000000,0.000000000,-0.008756009,-0.999961665,0.000000000,1,0.008756120,0.501689
7.477319,1785229874.848227978,car1,car6,0.000000000,1.000000000,0.000000000,0.009881025,0.999951181,0.000000000,1,0.009881186,0.566150
7.477319,1785229874.848227978,car6,car1,0.000000000,-1.000000000,0.000000000,-0.009881025,-0.999951181,0.000000000,1,0.009881186,0.566150
7.679308,1785229875.048192024,car1,car6,0.000000000,1.000000000,0.000000000,0.015515181,0.999879632,0.000000000,1,0.015515803,0.888990
7.679308,1785229875.048192024,car6,car1,0.000000000,-1.000000000,0.000000000,-0.015515181,-0.999879632,0.000000000,1,0.015515803,0.888990
7.882137,1785229875.218300581,car1,car6,0.000000000,1.000000000,0.000000000,0.012960712,0.999916006,0.000000000,1,0.012961075,0.742615
7.882137,1785229875.218300581,car6,car1,0.000000000,-1.000000000,0.000000000,-0.012960712,-0.999916006,0.000000000,1,0.012961075,0.742615
8.086370,1785229875.448136568,car1,car6,0.000000000,1.000000000,0.000000000,0.019951965,0.999800940,0.000000000,1,0.019953289,1.143239
8.086370,1785229875.448136568,car6,car1,0.000000000,-1.000000000,0.000000000,-0.019951965,-0.999800940,0.000000000,1,0.019953289,1.143239
8.288498,1785229875.658307552,car1,car6,0.000000000,1.000000000,0.000000000,0.022494123,0.999746975,0.000000000,1,0.022496020,1.288927
8.288498,1785229875.658307552,car6,car1,0.000000000,-1.000000000,0.000000000,-0.022494123,-0.999746975,0.000000000,1,0.022496020,1.288927
8.490627,1785229875.848228931,car1,car6,0.000000000,1.000000000,0.000000000,0.029162445,0.999574685,0.000000000,1,0.029166580,1.671122
8.490627,1785229875.848228931,car6,car1,0.000000000,-1.000000000,0.000000000,-0.029162445,-0.999574685,0.000000000,1,0.029166580,1.671122
8.692981,1785229876.068194151,car1,car6,0.000000000,1.000000000,0.000000000,0.028608539,0.999590692,0.000000000,1,0.028612443,1.639372
8.692981,1785229876.068194151,car6,car1,0.000000000,-1.000000000,0.000000000,-0.028608539,-0.999590692,0.000000000,1,0.028612443,1.639372
8.895410,1785229876.268553257,car1,car6,0.000000000,1.000000000,0.000000000,0.027235331,0.999629050,0.000000000,1,0.027238699,1.560662
8.895410,1785229876.268553257,car6,car1,0.000000000,-1.000000000,0.000000000,-0.027235331,-0.999629050,0.000000000,1,0.027238699,1.560662
9.097673,1785229876.468194962,car1,car6,0.000000000,1.000000000,0.000000000,0.021717477,0.999764148,0.000000000,1,0.021719184,1.244418
9.097673,1785229876.468194962,car6,car1,0.000000000,-1.000000000,0.000000000,-0.021717477,-0.999764148,0.000000000,1,0.021719184,1.244418
9.299796,1785229876.668214798,car1,car6,0.000000000,1.000000000,0.000000000,0.021690421,0.999764735,0.000000000,1,0.021692122,1.242867
9.299796,1785229876.668214798,car6,car1,0.000000000,-1.000000000,0.000000000,-0.021690421,-0.999764735,0.000000000,1,0.021692122,1.242867
9.502151,1785229876.878192663,car1,car6,0.000000000,1.000000000,0.000000000,0.020581209,0.999788184,0.000000000,1,0.020582662,1.179300
