time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1785229867.368221283,car1,0.501544,-0.010551,0.094116,2.038021,-0.075709,-0.232848,0.000000,0.096135,-0.003221,0.000420,2.038021,0.244848,0.000000,0.000000,0.000000,-100.000000,-35.000000,-35.000000,-100.000000,1
0.000000,1785229867.368221283,car6,-0.430720,0.292570,0.095834,2.646300,0.075709,0.232848,0.000000,-0.272684,0.144433,-0.347815,2.646300,0.244848,0.000000,0.000000,0.000000,94.969932,-65.597267,-65.597267,94.969932,1
0.202810,1785229867.578390121,car1,0.501558,-0.010542,0.094099,2.037477,-0.076232,-0.232660,0.000000,-0.070307,0.104375,0.082548,2.038021,0.244830,0.000000,0.000000,0.000000,-100.000000,-35.000000,-35.000000,-99.937225,1
0.202810,1785229867.578390121,car6,-0.430326,0.294794,0.095556,2.598980,0.076232,0.232660,0.000000,0.957980,2.775502,0.967197,2.646300,0.244830,0.000000,0.000000,0.000000,93.751636,-57.533238,-63.781602,100.000000,1
0.404825,1785229867.768196344,car1,0.501585,-0.010532,0.094116,2.039040,-0.081217,-0.230781,0.000000,-0.666698,-1.441723,-1.709271,2.038021,0.244656,0.000000,0.000000,0.000000,-99.882168,35.000000,35.000000,-100.000000,1
0.404825,1785229867.768196344,car6,-0.413997,0.311683,0.094962,2.323464,0.081217,0.230781,0.000000,29.464412,31.495922,-0.509676,2.646300,0.244656,0.000000,0.000000,0.000000,67.268475,-35.000000,-42.756143,100.000000,1
0.606778,1785229867.978327990,car1,0.501602,-0.010538,0.094097,2.035238,-0.085662,-0.228985,0.000000,0.049559,-0.071194,0.011153,2.038021,0.244483,0.000000,0.000000,0.000000,-100.000000,35.000000,35.000000,-99.678378,1
0.606778,1785229867.978327990,car6,-0.389753,0.322916,0.095395,2.310183,0.085662,0.228985,0.000000,17.249185,0.652425,1.272125,2.646300,0.244483,0.000000,0.000000,0.000000,66.073363,-35.000000,-43.742532,100.000000,1
0.808612,1785229868.178211689,car1,0.501553,-0.010498,0.094126,2.037362,-0.090265,-0.226998,0.000000,0.105976,0.121126,0.101309,2.038021,0.244287,0.000000,0.000000,0.000000,-100.000000,35.000000,35.000000,-99.923580,1
0.808612,1785229868.178211689,car6,-0.383852,0.341580,0.094925,2.761359,0.090265,0.226998,0.000000,2.399927,7.278587,-0.357526,2.646300,0.244287,0.000000,0.000000,0.000000,89.242525,-88.956254,-73.614949,73.901220,1
1.011522,1785229868.388431549,car1,0.501581,-0.010520,0.094116,2.037529,-0.101006,-0.221831,0.000000,-0.258666,0.013790,-0.582194,2.038021,0.243744,0.000000,0.000000,0.000000,-100.000000,35.000000,35.000000,-99.942625,1
1.011522,1785229868.388431549,car6,-0.353570,0.378854,0.094137,2.740118,0.101006,0.221831,0.000000,17.998271,34.802097,7.213301,2.646300,0.243744,0.000000,0.000000,0.000000,85.379445,-89.571617,-77.062446,72.870274,1
1.213501,1785229868.588280916,car1,0.501589,-0.010504,0.094137,2.036833,-0.113807,-0.214592,0.000000,0.018814,0.071517,0.098062,2.038021,0.242902,0.000000,0.000000,0.000000,-100.000000,35.000000,35.000000,-99.859761,1
1.213501,1785229868.588280916,car6,-0.321137,0.425822,0.093496,2.788692,0.113807,0.214592,0.000000,10.176269,15.351420,-0.158600,2.646300,0.242902,0.000000,0.000000,0.000000,78.379369,-100.000000,-81.127903,59.507272,1
