time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788508071.929908514,car1,-0.716289,-0.237266,0.139863,-0.352577,-0.245061,0.048069,0.000000,-0.000009,-0.000198,-0.000008,0.000000,0.249731,0.000199,0.000000,0.000000,-75.882941,-73.447996,-100.000000,-49.330938,1
0.000000,1788508071.929908514,car2,-0.175202,0.159857,0.105969,-0.579026,-0.021667,-0.248980,0.000000,0.000014,0.000007,0.000119,0.000000,0.249921,0.000016,0.000000,0.000000,65.187380,-35.000000,-42.341320,100.000000,1
0.000000,1788508071.929908514,car4,-1.147853,0.185762,0.140492,-0.766208,0.078313,0.237413,0.000000,0.000174,-0.000059,0.000247,0.000000,0.249996,0.000183,0.000000,0.000000,-100.000000,49.169533,35.000000,-56.632727,1
0.000000,1788508071.929908514,car5,-0.380000,0.768981,0.131153,2.710948,0.189037,-0.161500,0.000000,0.000147,-0.000050,0.000125,0.000000,0.248631,0.000155,0.000000,0.000000,-53.742298,-66.021863,-35.000000,-100.000000,1
0.202432,1788508072.119751692,car1,-0.716154,-0.237351,0.139877,-0.350504,-0.245084,0.047968,0.000000,0.000225,-0.000238,-0.000206,0.000000,0.249734,0.000328,0.000000,0.000000,-72.991271,-74.018828,-100.000000,-47.010099,1
0.202432,1788508072.119751692,car2,-0.175233,0.159562,0.106124,-0.588833,-0.021845,-0.248964,0.000000,-0.000518,-0.000216,0.000653,0.000000,0.249921,0.000561,0.000000,0.000000,66.865697,-35.000000,-37.001853,100.000000,1
0.202432,1788508072.119751692,car4,-1.148004,0.185532,0.140593,-0.778696,0.078243,0.237436,0.000000,-0.000566,-0.000295,-0.000995,0.000000,0.249996,0.000638,0.000000,0.000000,-100.000000,43.400688,35.000000,-58.947691,1
0.202432,1788508072.119751692,car5,-0.380996,0.769059,0.131255,2.718504,0.189277,-0.161256,0.000000,-0.001263,0.000636,0.000814,0.000000,0.248655,0.001414,0.000000,0.000000,-55.099787,-61.280408,-35.000000,-100.000000,1
0.404295,1788508072.330140829,car1,-0.753481,-0.223015,0.140788,-0.292550,-0.246142,0.038955,0.000000,-0.165681,0.065081,0.004642,0.000000,0.249206,0.178005,0.000000,0.000000,-69.501436,-78.223768,-100.000000,-47.725204,1
0.404295,1788508072.330140829,car2,-0.167846,0.141662,0.106297,-0.559733,-0.026150,-0.248513,0.000000,0.035954,-0.082488,0.000491,0.000000,0.249885,0.089983,0.000000,0.000000,66.501791,-35.000000,-45.553218,100.000000,1
0.404295,1788508072.330140829,car4,-1.143592,0.203841,0.140111,-0.688817,0.081124,0.236464,0.000000,0.020020,0.087605,-0.003301,0.000000,0.249993,0.089863,0.000000,0.000000,-100.000000,51.929851,35.000000,-59.894107,1
0.404295,1788508072.330140829,car5,-0.343399,0.742825,0.130061,2.559197,0.183397,-0.164161,0.000000,0.171094,-0.120954,-0.005781,0.000000,0.246137,0.209530,0.000000,0.000000,-49.963979,-72.561102,-35.000000,-100.000000,1
0.606477,1788508072.529812098,car1,-0.815031,-0.204581,0.141064,-0.216990,-0.244791,0.023107,0.000000,-0.318067,0.096750,0.001400,0.000000,0.245879,0.332456,0.000000,0.000000,-48.000749,-69.250499,-86.609702,-35.000000,1
0.606477,1788508072.529812098,car2,-0.156231,0.121519,0.106672,-0.419377,-0.036133,-0.247202,0.000000,0.050771,-0.106189,0.001700,0.000000,0.249829,0.117702,0.000000,0.000000,71.147729,-35.000000,-63.177985,100.000000,1
0.606477,1788508072.529812098,car4,-1.136004,0.228507,0.139966,-0.520817,0.082640,0.235931,0.000000,0.039144,0.124943,-0.001538,0.000000,0.249985,0.130931,0.000000,0.000000,-100.000000,63.411162,35.000000,-65.952526,1
0.606477,1788508072.529812098,car5,-0.298038,0.706572,0.129463,2.417108,0.168562,-0.163081,0.000000,0.240658,-0.189031,-0.005480,0.000000,0.234539,0.306021,0.000000,0.000000,-39.689748,-74.227348,-35.000000,-99.689748,1
0.808566,1788508072.729833841,car1,-0.879359,-0.189111,0.140969,-0.166991,-0.229527,0.000603,0.000000,-0.324943,0.079247,0.000756,0.000000,0.229528,0.334466,0.000000,0.000000,-35.000000,-65.353681,-78.712978,-35.000000,1
0.808566,1788508072.729833841,car2,-0.149612,0.120737,0.106648,-0.417960,-0.042119,-0.246263,0.000000,0.041620,-0.013738,0.000366,0.000000,0.249839,0.043829,0.000000,0.000000,71.867450,-35.000000,-60.112637,100.000000,1
0.808566,1788508072.729833841,car4,-1.130540,0.252256,0.140329,-0.246831,0.083953,0.235452,0.000000,0.032783,0.126950,0.000292,0.000000,0.249971,0.131115,0.000000,0.000000,-93.176729,86.100839,66.354391,-73.430281,1
0.808566,1788508072.729833841,car5,-0.250692,0.660969,0.128026,2.302578,0.123338,-0.127477,0.000000,0.239506,-0.225868,-0.007296,0.000000,0.177377,0.329211,0.000000,0.000000,-35.000000,-51.037589,35.000000,-69.848624,1
1.011708,1788508072.940113783,car1,-0.947928,-0.181277,0.141858,-0.116068,-0.174273,-0.019218,0.000000,-0.324927,0.038458,0.000567,0.000000,0.175330,0.327195,0.000000,0.000000,-35.000000,-44.276290,-53.561757,35.000000,1
1.011708,1788508072.940113783,car2,-0.149386,0.122417,0.106527,-0.376371,-0.051916,-0.244402,0.000000,0.000419,0.008783,-0.000491,0.000000,0.249855,0.008793,0.000000,0.000000,74.873016,-35.000000,-57.439776,100.000000,1
1.011708,1788508072.940113783,car4,-1.124089,0.277749,0.140799,-0.139393,0.077390,0.237654,0.000000,0.024299,0.117649,0.002262,0.000000,0.249937,0.120132,0.000000,0.000000,-80.707204,88.884723,77.733299,-69.555780,1
1.011708,1788508072.940113783,car5,-0.240512,0.626208,0.127992,1.707248,0.076585,-0.045686,0.000000,0.057653,-0.171926,0.000548,0.000000,0.089177,0.181335,0.000000,0.000000,38.142524,-41.695400,35.000000,-35.000000,1
1.214474,1788508073.139910936,car1,-0.983364,-0.176948,0.141538,0.214460,-0.102566,-0.034251,0.000000,-0.201845,0.025473,0.000355,0.000000,0.108133,0.203446,0.000000,0.000000,35.000000,-48.296438,-35.000000,35.000000,1
1.214474,1788508073.139910936,car2,-0.149289,0.122228,0.106455,-0.378628,-0.053718,-0.244012,0.000000,0.001321,-0.001342,-0.000953,0.000000,0.249855,0.001883,0.000000,0.000000,74.946048,-35.000000,-56.264957,100.000000,1
1.214474,1788508073.139910936,car4,-1.093158,0.271237,0.140199,-0.324095,0.054115,0.244005,0.000000,0.138039,-0.022101,-0.000276,0.000000,0.249933,0.139797,0.000000,0.000000,-100.000000,44.852404,35.000000,-79.736455,1
1.214474,1788508073.139910936,car5,-0.244886,0.629860,0.128474,1.016142,0.082304,-0.055247,0.000000,-0.021557,0.005391,0.001916,0.000000,0.099127,0.022221,0.000000,0.000000,56.651138,-63.066224,-35.000000,-35.000000,1
1.416595,1788508073.340766430,car1,-0.985827,-0.193223,0.140862,0.168059,-0.079368,0.010276,0.000000,-0.006302,-0.077197,0.001455,0.000000,0.080030,0.077454,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
1.416595,1788508073.340766430,car2,-0.149149,0.122302,0.106365,-0.374439,-0.048958,-0.245012,0.000000,0.000482,0.000294,0.000018,0.000000,0.249856,0.000565,0.000000,0.000000,75.859548,-35.000000,-51.774453,100.000000,1
1.416595,1788508073.340766430,car4,-1.068275,0.273777,0.140608,-0.193316,0.041577,0.246437,0.000000,0.135907,0.007748,-0.002782,0.000000,0.249919,0.136127,0.000000,0.000000,-100.000000,47.384376,35.000000,-87.004806,1
1.416595,1788508073.340766430,car5,-0.242879,0.637566,0.128222,0.376469,0.091766,-0.080389,0.000000,0.002604,0.049727,-0.001401,0.000000,0.121997,0.049795,0.000000,0.000000,72.402546,-45.271520,-35.000000,42.285001,1
1.619112,1788508073.530027866,car1,-1.014391,-0.199459,0.141654,0.086882,0.008408,0.037189,0.000000,-0.144377,-0.040693,0.001366,0.000000,0.038128,0.150002,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
1.619112,1788508073.530027866,car2,-0.149341,0.122077,0.106497,-0.382208,-0.049332,-0.244928,0.000000,-0.000467,-0.000911,0.000224,0.000000,0.249847,0.001024,0.000000,0.000000,75.933218,-35.000000,-48.634252,100.000000,1
1.619112,1788508073.530027866,car4,-1.065395,0.289327,0.139743,-0.274143,0.040955,0.246506,0.000000,0.014333,0.088860,-0.000350,0.000000,0.249885,0.090008,0.000000,0.000000,-100.000000,61.976174,42.380870,-80.404695,1
1.619112,1788508073.530027866,car5,-0.217845,0.637071,0.128097,0.122295,0.018859,-0.076697,0.000000,0.128073,-0.009811,0.000970,0.000000,0.078982,0.128448,0.000000,0.000000,35.000000,-50.325050,-40.541417,35.000000,1
1.822956,1788508073.750359535,car1,-1.013171,-0.198016,0.140508,-0.078998,0.038242,0.018226,0.000000,0.001818,0.001987,-0.001435,0.000000,0.042363,0.002693,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
1.822956,1788508073.750359535,car2,-0.149079,0.121923,0.106357,-0.380856,-0.040817,-0.246500,0.000000,0.000412,-0.000221,-0.000241,0.000000,0.249856,0.000468,0.000000,0.000000,76.862158,-35.000000,-42.822472,100.000000,1
1.822956,1788508073.750359535,car4,-1.036525,0.283320,0.139252,-0.484993,0.027122,0.248406,0.000000,0.142763,-0.032771,-0.000745,0.000000,0.249882,0.146476,0.000000,0.000000,-100.000000,35.000000,35.000000,-73.101364,1
1.822956,1788508073.750359535,car5,-0.205641,0.623714,0.127742,0.016942,0.014304,-0.050375,0.000000,0.060226,-0.061098,-0.002008,0.000000,0.052366,0.085791,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
2.025363,1788508073.950273752,car1,-0.973880,-0.200696,0.141632,-0.023148,-0.051729,0.029491,0.000000,0.183351,-0.009800,0.001201,0.000000,0.059546,0.183613,0.000000,0.000000,-41.141647,-35.000000,-35.800490,-39.289771,1
2.025363,1788508073.950273752,car2,-0.149320,0.121883,0.106461,-0.384829,-0.032465,-0.247728,0.000000,-0.000145,-0.000874,0.000153,0.000000,0.249846,0.000886,0.000000,0.000000,77.418448,-35.000000,-37.533755,100.000000,1
2.025363,1788508073.950273752,car4,-1.037335,0.305305,0.139523,-0.544758,0.038220,0.246866,0.000000,-0.001505,0.108819,0.001794,0.000000,0.249807,0.108829,0.000000,0.000000,-100.000000,35.000000,35.000000,-70.054592,1
2.025363,1788508073.950273752,car5,-0.200914,0.608311,0.127914,-0.002687,0.033562,0.001239,0.000000,0.021193,-0.083062,0.000335,0.000000,0.033585,0.085723,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
2.227281,1788508074.139817715,car1,-0.997254,-0.199024,0.139955,-0.040190,0.001216,0.048248,0.000000,-0.070114,0.004189,-0.001279,0.000000,0.048264,0.070239,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
2.227281,1788508074.139817715,car2,-0.149038,0.121659,0.106351,-0.387454,-0.038654,-0.246809,0.000000,0.000848,-0.000647,-0.000527,0.000000,0.249817,0.001066,0.000000,0.000000,77.143842,-35.000000,-38.807785,100.000000,1
2.227281,1788508074.139817715,car4,-1.036992,0.327091,0.140874,-0.548668,0.034321,0.247346,0.000000,-0.002065,0.118490,0.001238,0.000000,0.249716,0.118508,0.000000,0.000000,-100.000000,35.000000,35.000000,-69.939745,1
2.227281,1788508074.139817715,car5,-0.204195,0.615257,0.127192,-0.045713,0.023371,0.003155,0.000000,-0.009425,0.019558,-0.001485,0.000000,0.023583,0.021710,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
2.431785,1788508074.360719681,car1,-1.013074,-0.196499,0.141185,-0.011220,0.048270,0.058688,0.000000,-0.092646,0.013741,0.000541,0.000000,0.075989,0.093659,0.000000,0.000000,35.000000,46.399806,45.502188,35.000000,1
2.431785,1788508074.360719681,car2,-0.149039,0.121249,0.106456,-0.394987,-0.039986,-0.246563,0.000000,-0.000940,-0.001232,0.000292,0.000000,0.249785,0.001549,0.000000,0.000000,76.763148,-35.000000,-38.826248,100.000000,1
2.431785,1788508074.360719681,car4,-1.038929,0.352976,0.139978,-0.656924,0.037922,0.246637,0.000000,-0.006837,0.122300,-0.000470,0.000000,0.249535,0.122491,0.000000,0.000000,-100.000000,35.000000,-35.000000,-65.638834,1
2.431785,1788508074.360719681,car5,-0.188948,0.612031,0.127528,0.046740,-0.027091,0.032980,0.000000,0.076820,-0.013656,0.001763,0.000000,0.042680,0.078024,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
2.634079,1788508074.539817572,car1,-0.978250,-0.195597,0.141536,0.043959,-0.048280,0.076947,0.000000,0.158103,0.007923,-0.005903,0.000000,0.090839,0.158301,0.000000,0.000000,-55.229062,-35.000000,-35.000000,-58.745773,1
2.634079,1788508074.539817572,car2,-0.148986,0.121187,0.106409,-0.397236,-0.038151,-0.246807,0.000000,0.002175,-0.002542,-0.000809,0.000000,0.249738,0.003346,0.000000,0.000000,76.705021,-35.000000,-38.336663,100.000000,1
2.634079,1788508074.539817572,car4,-1.044600,0.380172,0.140700,-0.558023,0.049501,0.244296,0.000000,-0.021249,0.148689,0.001578,0.000000,0.249261,0.150200,0.000000,0.000000,-100.000000,42.189712,35.000000,-67.944819,1
2.634079,1788508074.539817572,car5,-0.204401,0.612636,0.127263,0.017478,0.032399,0.053142,0.000000,-0.069632,-0.011899,-0.001687,0.000000,0.062239,0.070642,0.000000,0.000000,-35.000000,38.381774,39.780001,-35.000000,1
2.835976,1788508074.759879589,car1,-0.974845,-0.186979,0.141220,0.066348,-0.060946,0.089968,0.000000,0.035283,0.046835,-0.001384,0.000000,0.108668,0.058638,0.000000,0.000000,-55.703857,-35.000000,-35.000000,-61.011692,1
