time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788507859.219961643,car2,-1.170982,-0.531378,0.110543,0.445429,0.219712,0.119275,0.000000,-0.000012,-0.000036,0.000064,0.000000,0.250000,0.000038,0.000000,0.000000,91.727588,65.053218,100.000000,56.780806,1
0.000000,1788507859.219961643,car5,0.653375,0.075585,0.128272,-3.078008,-0.237395,-0.078342,0.000000,-0.000177,-0.000025,0.000081,0.000000,0.249988,0.000179,0.000000,0.000000,35.000000,100.000000,53.442066,68.196254,1
0.000000,1788507859.219961643,car4,-0.100617,0.661679,0.129442,-2.078975,-0.180588,-0.172354,0.000000,-0.000059,0.000059,0.000100,0.000000,0.249635,0.000084,0.000000,0.000000,54.352989,63.492308,35.000000,100.000000,1
0.201715,1788507859.419954062,car2,-1.164664,-0.530526,0.112239,0.386361,0.219441,0.119773,0.000000,0.017285,0.001561,0.007115,0.000000,0.250000,0.017355,0.000000,0.000000,80.090980,70.744406,100.000000,50.835386,1
0.201715,1788507859.419954062,car5,0.643509,0.075427,0.127569,-3.029740,-0.236866,-0.079923,0.000000,-0.029027,0.000999,-0.002449,0.000000,0.249986,0.029044,0.000000,0.000000,35.000000,100.000000,53.710742,67.970372,1
0.201715,1788507859.419954062,car4,-0.103974,0.656473,0.129536,-1.984889,-0.181469,-0.171391,0.000000,-0.010969,-0.013066,0.000161,0.000000,0.249611,0.017059,0.000000,0.000000,57.335337,50.725988,35.000000,100.000000,1
0.403811,1788507859.619837523,car2,-1.108581,-0.513987,0.110720,0.256589,0.218742,0.121046,0.000000,0.278357,0.077419,-0.009540,0.000000,0.250000,0.288923,0.000000,0.000000,47.713625,72.660683,93.187765,35.000000,1
0.403811,1788507859.619837523,car5,0.592585,0.069016,0.127573,-2.810834,-0.233671,-0.088781,0.000000,-0.265377,-0.030787,0.000188,0.000000,0.249969,0.267157,0.000000,0.000000,35.000000,100.000000,46.044393,72.140947,1
0.403811,1788507859.619837523,car4,-0.119308,0.615139,0.129982,-1.807794,-0.188222,-0.163493,0.000000,-0.081446,-0.205637,0.002342,0.000000,0.249314,0.221179,0.000000,0.000000,56.391131,35.000000,-35.000000,100.000000,1
0.605009,1788507859.819850922,car2,-1.037058,-0.497083,0.109234,0.222611,0.217547,0.123179,0.000000,0.344365,0.085649,-0.002675,0.000000,0.250000,0.354856,0.000000,0.000000,35.000000,66.261226,84.070104,35.000000,1
0.605009,1788507859.819850922,car5,0.533113,0.046440,0.127631,-2.607428,-0.230883,-0.095624,0.000000,-0.286587,-0.104263,-0.002373,0.000000,0.249901,0.304964,0.000000,0.000000,35.000000,92.418824,35.000000,84.783799,1
0.605009,1788507859.819850922,car4,-0.128378,0.579850,0.130054,-1.358631,-0.192811,-0.157498,0.000000,-0.049705,-0.173839,0.000146,0.000000,0.248961,0.180805,0.000000,0.000000,55.876878,-35.000000,-53.446424,100.000000,1
0.812415,1788507860.030075788,car2,-0.968867,-0.480447,0.110462,0.170591,0.216608,0.124822,0.000000,0.337258,0.081153,0.005159,0.000000,0.249999,0.346884,0.000000,0.000000,35.000000,67.928538,81.575846,-35.000000,1
0.812415,1788507860.030075788,car5,0.475450,0.009220,0.126569,-2.407737,-0.230134,-0.096792,0.000000,-0.288693,-0.182046,-0.004028,0.000000,0.249660,0.341298,0.000000,0.000000,35.000000,64.554028,35.000000,87.301164,1
0.812415,1788507860.030075788,car4,-0.130629,0.557100,0.129994,-1.154413,-0.194290,-0.155353,0.000000,-0.010285,-0.117716,-0.000770,0.000000,0.248763,0.118164,0.000000,0.000000,52.996778,-35.000000,-69.375418,100.000000,1
1.014606,1788507860.229939222,car2,-0.919659,-0.467768,0.111668,0.004407,0.216369,0.125232,0.000000,0.268247,0.070931,0.005633,0.000000,0.249997,0.277467,0.000000,0.000000,-35.000000,83.060261,83.412795,-35.000000,1
1.014606,1788507860.229939222,car5,0.429954,-0.032014,0.126740,-2.180214,-0.231685,-0.091378,0.000000,-0.238046,-0.213973,0.000870,0.000000,0.249054,0.320079,0.000000,0.000000,35.023695,35.358878,-35.000000,95.023695,1
1.014606,1788507860.229939222,car4,-0.131487,0.544413,0.130024,-1.065644,-0.193297,-0.156558,0.000000,-0.003606,-0.066979,-0.000037,0.000000,0.248745,0.067076,0.000000,0.000000,52.662556,-35.000000,-71.967259,100.000000,1
1.216943,1788507860.430083513,car2,-0.867445,-0.459649,0.110072,-0.137163,0.215131,0.127338,0.000000,0.262755,0.036605,-0.007169,0.000000,0.249993,0.265293,0.000000,0.000000,-35.000000,94.715122,83.742057,-35.000000,1
1.216943,1788507860.430083513,car5,0.394326,-0.061152,0.126233,-1.719842,-0.230682,-0.090326,0.000000,-0.186240,-0.147884,-0.003170,0.000000,0.247736,0.237813,0.000000,0.000000,37.353033,35.000000,-55.019446,97.353033,1
1.216943,1788507860.430083513,car4,-0.128547,0.530111,0.130002,-0.924464,-0.193069,-0.156667,0.000000,0.014587,-0.071357,-0.000133,0.000000,0.248636,0.072832,0.000000,0.000000,47.294813,-40.013315,-92.718501,100.000000,1
1.418987,1788507860.629992962,car2,-0.833573,-0.430729,0.109699,-0.028443,0.218924,0.120681,0.000000,0.174137,0.136928,-0.001990,0.000000,0.249983,0.221524,0.000000,0.000000,35.000000,89.943051,87.667574,35.000000,1
1.418987,1788507860.629992962,car5,0.371780,-0.097271,0.126844,-1.307436,-0.234250,-0.074059,0.000000,-0.116275,-0.184684,0.003752,0.000000,0.245679,0.218238,0.000000,0.000000,35.000000,-43.570899,-100.000000,68.113250,1
1.418987,1788507860.629992962,car4,-0.129388,0.512817,0.129829,-0.669185,-0.195133,-0.153669,0.000000,-0.004065,-0.086476,-0.000079,0.000000,0.248377,0.086572,0.000000,0.000000,35.000000,-57.116368,-100.000000,68.351504,1
1.622602,1788507860.840006828,car2,-0.797002,-0.404995,0.109652,0.095630,0.220391,0.117940,0.000000,0.173529,0.135532,-0.000202,0.000000,0.249964,0.220184,0.000000,0.000000,35.000000,83.481023,91.131388,35.000000,1
1.622602,1788507860.840006828,car5,0.353621,-0.110930,0.125361,-0.951747,-0.233830,-0.065496,0.000000,-0.095644,-0.069746,-0.006166,0.000000,0.242830,0.118373,0.000000,0.000000,35.000000,-53.223277,-100.000000,47.591879,1
1.622602,1788507860.840006828,car4,-0.132235,0.504856,0.130192,-0.498071,-0.196060,-0.151797,0.000000,-0.014639,-0.044134,0.001078,0.000000,0.247955,0.046498,0.000000,0.000000,35.000000,-69.136000,-100.000000,47.677507,1
1.824481,1788507861.039985418,car2,-0.741191,-0.389531,0.109217,0.176485,0.217783,0.122576,0.000000,0.275869,0.079461,-0.002174,0.000000,0.249909,0.287085,0.000000,0.000000,35.000000,76.344128,90.462926,-35.000000,1
1.824481,1788507861.039985418,car5,0.336772,-0.119932,0.125644,-0.724934,-0.230199,-0.061096,0.000000,-0.077631,-0.056475,0.001200,0.000000,0.238169,0.096000,0.000000,0.000000,-35.000000,-59.857653,-100.000000,35.000000,1
1.824481,1788507861.039985418,car4,-0.147055,0.500565,0.130153,-0.401291,-0.189405,-0.158459,0.000000,-0.067091,-0.022102,0.000044,0.000000,0.246948,0.070638,0.000000,0.000000,35.000000,-74.226652,-100.000000,44.544335,1
2.026549,1788507861.239830256,car2,-0.685614,-0.375343,0.109124,0.082275,0.212668,0.130930,0.000000,0.289622,0.075512,-0.001425,0.000000,0.249740,0.299305,0.000000,0.000000,-35.000000,81.783294,88.365291,-35.000000,1
2.026549,1788507861.239830256,car5,0.305962,-0.123068,0.125359,-0.283763,-0.219697,-0.064393,0.000000,-0.149376,-0.006639,-0.000750,0.000000,0.228939,0.149524,0.000000,0.000000,-35.000000,-81.348230,-100.000000,-35.000000,1
2.026549,1788507861.239830256,car4,-0.170902,0.491909,0.130882,-0.346389,-0.182518,-0.163644,0.000000,-0.118615,-0.040179,0.002028,0.000000,0.245137,0.125236,0.000000,0.000000,35.000000,-76.700665,-100.000000,46.354580,1
2.229769,1788507861.449861288,car2,-0.643951,-0.351810,0.107628,0.115282,0.209987,0.134257,0.000000,0.213620,0.113589,-0.006237,0.000000,0.249238,0.241942,0.000000,0.000000,-35.000000,84.163909,93.386469,-35.000000,1
2.229769,1788507861.449861288,car5,0.261817,-0.137618,0.126985,0.102547,-0.201704,-0.053679,0.000000,-0.219607,-0.070531,0.006302,0.000000,0.208724,0.230655,0.000000,0.000000,-35.000000,-81.514348,-73.310592,-39.329443,1
2.229769,1788507861.449861288,car4,-0.196036,0.479805,0.130847,-0.276790,-0.179159,-0.164161,0.000000,-0.124399,-0.059601,0.001214,0.000000,0.242995,0.137940,0.000000,0.000000,35.000000,-81.297428,-100.000000,39.270805,1
