time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788506798.520041943,car4,-0.658506,-0.087540,0.137543,-3.119828,0.219016,-0.023447,0.000000,0.207794,-0.101906,0.000827,0.000000,0.220268,0.231437,0.000000,0.000000,-71.186703,-35.000000,-79.421593,-35.000000,1
0.000000,1788506798.520041943,car5,-0.229540,0.366537,0.127113,2.296405,-0.219016,0.023447,0.000000,0.238353,0.011538,-0.008254,0.000000,0.220268,0.238632,0.000000,0.000000,35.000000,60.586668,100.000000,-35.000000,1
0.202102,1788506798.719907045,car4,-0.608044,-0.087265,0.136107,-2.743660,0.218112,-0.015702,0.000000,0.251716,-0.009049,-0.003906,0.000000,0.218676,0.251879,0.000000,0.000000,-81.256566,35.000000,-47.740308,-35.000000,1
0.202102,1788506798.719907045,car5,-0.186396,0.382381,0.127966,2.418459,-0.218112,0.015702,0.000000,0.220695,0.069472,0.000753,0.000000,0.218676,0.231371,0.000000,0.000000,35.000000,60.342474,100.000000,-35.000000,1
0.416272,1788506798.930010319,car4,-0.564337,-0.069049,0.136548,-2.272588,0.218221,-0.015145,0.000000,0.216002,0.087200,0.001347,0.000000,0.218746,0.232939,0.000000,0.000000,-85.879851,60.009496,35.000000,-35.000000,1
0.416272,1788506798.930010319,car5,-0.142241,0.401656,0.127452,2.519610,-0.218221,0.015145,0.000000,0.209456,0.095089,-0.001882,0.000000,0.218746,0.230030,0.000000,0.000000,35.000000,60.054057,100.000000,-35.000000,1
0.618048,1788506799.139872551,car4,-0.539575,-0.056206,0.136160,-1.854270,0.221483,-0.007008,0.000000,0.123811,0.072375,-0.000956,0.000000,0.221594,0.143413,0.000000,0.000000,-88.613026,93.928741,35.000000,-35.000000,1
0.618048,1788506799.139872551,car5,-0.100808,0.429910,0.126631,2.614171,-0.221483,0.007008,0.000000,0.201963,0.134042,-0.002722,0.000000,0.221594,0.242397,0.000000,0.000000,35.000000,60.017618,100.000000,-35.000000,1
0.819638,1788506799.340036392,car4,-0.522329,-0.057038,0.136142,-1.373125,0.224547,0.005854,0.000000,0.089341,-0.005461,-0.001271,0.000000,0.224624,0.089507,0.000000,0.000000,-70.232842,100.000000,49.509347,-35.000000,1
0.819638,1788506799.340036392,car5,-0.064875,0.454887,0.126589,2.658307,-0.224547,-0.005854,0.000000,0.181802,0.129783,-0.000874,0.000000,0.224624,0.223374,0.000000,0.000000,35.000000,60.298487,100.000000,-35.000000,1
1.022157,1788506799.544640779,car4,-0.495780,-0.059310,0.135603,-0.983064,0.225437,0.018647,0.000000,0.123769,-0.009763,-0.002208,0.000000,0.226207,0.124153,0.000000,0.000000,-46.565286,100.000000,55.099553,-35.000000,1
1.022157,1788506799.544640779,car5,-0.029177,0.479285,0.126394,2.733249,-0.225437,-0.018647,0.000000,0.175034,0.115612,-0.001724,0.000000,0.226207,0.209769,0.000000,0.000000,35.000000,60.324268,100.000000,-35.000000,1
1.224469,1788506799.749894142,car4,-0.467615,-0.065186,0.135849,-0.772373,0.225027,0.033564,0.000000,0.142520,-0.029771,0.000368,0.000000,0.227516,0.145596,0.000000,0.000000,-41.030736,100.000000,56.026179,35.000000,1
1.224469,1788506799.749894142,car5,0.004632,0.505252,0.125450,2.773735,-0.225027,-0.033564,0.000000,0.171199,0.135465,-0.003740,0.000000,0.227516,0.218312,0.000000,0.000000,35.000000,60.533836,100.000000,-35.000000,1
1.426372,1788506799.949852943,car4,-0.437714,-0.076282,0.135604,-0.366900,0.213967,0.043292,0.000000,0.147996,-0.053797,-0.000860,0.000000,0.218303,0.157470,0.000000,0.000000,-35.000000,100.000000,75.578647,35.000000,1
1.426372,1788506799.949852943,car5,-0.025306,0.507160,0.125786,2.364084,-0.213967,-0.043292,0.000000,-0.124099,0.019849,0.002525,0.000000,0.218303,0.125676,0.000000,0.000000,35.000000,59.179251,100.000000,-35.000000,1
1.628085,1788506800.148422718,car4,-0.386766,-0.082371,0.134899,-0.015953,0.190015,0.065422,0.000000,0.248972,-0.035220,-0.002962,0.000000,0.200962,0.251451,0.000000,0.000000,-35.000000,85.872640,84.596399,-35.000000,1
1.628085,1788506800.148422718,car5,-0.058966,0.530491,0.126698,2.039365,-0.190015,-0.065422,0.000000,-0.164449,0.104615,0.002497,0.000000,0.200962,0.194905,0.000000,0.000000,-35.000000,45.016377,100.000000,-82.941320,1
1.829594,1788506800.349898815,car4,-0.351146,-0.069993,0.134466,0.034348,0.171612,0.068520,0.000000,0.177693,0.057408,-0.002577,0.000000,0.184786,0.186736,0.000000,0.000000,35.000000,79.853992,82.601823,35.000000,1
1.829594,1788506800.349898815,car5,-0.075845,0.539927,0.126301,1.988536,-0.171612,-0.068520,0.000000,-0.092098,0.055468,-0.000194,0.000000,0.184786,0.107511,0.000000,0.000000,-35.000000,41.700061,100.000000,-88.368344,1
2.031105,1788506800.549973726,car4,-0.305917,-0.067047,0.133857,-0.091256,0.143311,0.080590,0.000000,0.224316,0.022100,-0.002620,0.000000,0.164417,0.225402,0.000000,0.000000,-35.000000,76.412358,69.111859,-35.000000,1
2.031105,1788506800.549973726,car5,-0.091089,0.553760,0.126439,1.843762,-0.143311,-0.080590,0.000000,-0.074270,0.061312,0.000072,0.000000,0.164417,0.096308,0.000000,0.000000,-42.039123,35.000000,77.642846,-100.000000,1
2.232885,1788506800.756747484,car4,-0.278306,-0.052412,0.133442,-0.025496,0.115487,0.086660,0.000000,0.156833,0.064739,-0.001591,0.000000,0.144386,0.169669,0.000000,0.000000,-35.000000,66.670503,64.630810,-35.000000,1
2.232885,1788506800.756747484,car5,-0.113645,0.571148,0.126516,1.634378,-0.115487,-0.086660,0.000000,-0.115760,0.090039,0.000026,0.000000,0.144386,0.146654,0.000000,0.000000,-47.443047,-35.000000,39.217355,-100.000000,1
2.434583,1788506800.959864855,car4,-0.254274,-0.036094,0.133109,-0.024341,0.091126,0.079683,0.000000,0.115206,0.075781,-0.001009,0.000000,0.121051,0.137895,0.000000,0.000000,-35.000000,59.453214,57.505900,-35.000000,1
2.434583,1788506800.959864855,car5,-0.129955,0.572613,0.127321,1.228575,-0.091126,-0.079683,0.000000,-0.077345,0.012345,0.003745,0.000000,0.121051,0.078324,0.000000,0.000000,-40.295772,-35.000000,35.000000,-100.000000,1
2.636069,1788506801.159876347,car4,-0.245603,-0.035222,0.133317,-0.036906,0.070267,0.079165,0.000000,0.051041,0.014616,-0.000170,0.000000,0.105852,0.053092,0.000000,0.000000,-35.000000,65.124026,62.171514,-35.000000,1
2.636069,1788506801.159876347,car5,-0.151872,0.570378,0.128464,0.715103,-0.070267,-0.079165,0.000000,-0.114857,-0.016784,0.003753,0.000000,0.105852,0.116077,0.000000,0.000000,-35.000000,-46.942532,35.000000,-66.364352,1
2.841751,1788506801.359838724,car4,-0.243407,-0.034646,0.133429,-0.062902,0.044876,0.083142,0.000000,0.010934,0.002297,0.000123,0.000000,0.094480,0.011172,0.000000,0.000000,-35.000000,64.753070,59.720891,-35.000000,1
2.841751,1788506801.359838724,car5,-0.184386,0.574702,0.127575,0.242746,-0.044876,-0.083142,0.000000,-0.149594,0.020197,-0.001211,0.000000,0.094480,0.150951,0.000000,0.000000,35.000000,-35.000000,-35.000000,-35.000000,1
3.054933,1788506801.579961061,car4,-0.243896,-0.034454,0.133170,-0.065452,0.124921,0.081989,0.000000,-0.001406,0.001202,-0.000938,0.000000,0.149424,0.001850,0.000000,0.000000,-35.000000,95.750682,90.514512,-35.000000,1
3.054933,1788506801.579961061,car5,-0.211430,0.572355,0.127149,-0.039419,0.075079,-0.081989,0.000000,-0.127480,-0.005366,-0.002328,0.000000,0.111171,0.127593,0.000000,0.000000,55.002656,35.000000,35.000000,58.156180,1
3.257020,1788506801.779881477,car4,-0.243520,-0.034321,0.133358,-0.059541,0.147145,0.080181,0.000000,0.001443,-0.001487,0.000417,0.000000,0.167573,0.002072,0.000000,0.000000,35.000000,100.000000,95.609548,35.000000,1
3.257020,1788506801.779881477,car5,-0.181618,0.570957,0.126601,-0.079746,0.052855,-0.080181,0.000000,0.128272,-0.009620,-0.002722,0.000000,0.096035,0.128632,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
3.458496,1788506801.979874849,car4,-0.192707,-0.034962,0.133075,-0.118025,0.136075,0.076494,0.000000,0.231140,-0.002053,-0.001275,0.000000,0.156101,0.231149,0.000000,0.000000,-35.000000,80.649216,71.207191,-35.000000,1
3.458496,1788506801.979874849,car5,-0.145765,0.564576,0.126105,-0.081471,0.063925,-0.076494,0.000000,0.188809,-0.026552,-0.002126,0.000000,0.099688,0.190667,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
3.660134,1788506802.180020571,car4,-0.153957,-0.022397,0.133075,-0.037991,0.115614,0.057410,0.000000,0.211740,0.058750,0.000414,0.000000,0.129083,0.219739,0.000000,0.000000,-35.000000,56.584322,53.545079,-35.000000,1
3.660134,1788506802.180020571,car5,-0.134058,0.550768,0.125972,-0.036496,0.084386,-0.057410,0.000000,0.065854,-0.072282,-0.001575,0.000000,0.102063,0.097783,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
3.861832,1788506802.379937649,car4,-0.127604,-0.009036,0.132997,-0.019543,0.115963,0.045410,0.000000,0.140172,0.069709,-0.000658,0.000000,0.124537,0.156549,0.000000,0.000000,-35.000000,56.198035,54.634604,-35.000000,1
3.861832,1788506802.379937649,car5,-0.107398,0.548445,0.125510,0.056681,0.084037,-0.045410,0.000000,0.124849,-0.016787,-0.002054,0.000000,0.095521,0.125973,0.000000,0.000000,35.000000,-35.000000,35.000000,35.000000,1
4.063871,1788506802.590191841,car4,-0.105048,0.002198,0.132943,-0.034289,0.129768,0.038363,0.000000,0.104617,0.058389,-0.000246,0.000000,0.135320,0.119808,0.000000,0.000000,35.000000,64.808539,62.065430,35.000000,1
4.063871,1788506802.590191841,car5,-0.067359,0.550768,0.125249,0.020085,0.070232,-0.038363,0.000000,0.200126,0.014845,-0.001390,0.000000,0.080026,0.200676,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
4.267928,1788506802.789948225,car4,-0.057495,0.002235,0.132922,0.057400,0.104739,0.029480,0.000000,0.226844,-0.001060,0.000001,0.000000,0.108808,0.226846,0.000000,0.000000,-35.000000,40.389126,44.981158,-35.000000,1
4.267928,1788506802.789948225,car5,-0.051543,0.539261,0.124982,0.046602,0.095261,-0.029480,0.000000,0.083851,-0.054817,-0.001324,0.000000,0.099718,0.100179,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
4.469597,1788506802.989994526,car4,-0.040401,0.014332,0.132513,-0.005855,0.111592,0.019950,0.000000,0.113782,0.058089,-0.001848,0.000000,0.113361,0.127753,0.000000,0.000000,35.000000,43.972918,43.504547,35.000000,1
4.469597,1788506802.989994526,car5,-0.025871,0.539341,0.125419,-0.006150,0.088408,-0.019950,0.000000,0.117234,-0.007299,0.000764,0.000000,0.090631,0.117461,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
4.671397,1788506803.189935207,car4,-0.022530,0.017888,0.132023,-0.019403,0.130351,0.015171,0.000000,0.079424,0.022916,-0.001693,0.000000,0.131231,0.082664,0.000000,0.000000,35.000000,59.592999,58.040773,35.000000,1
4.671397,1788506803.189935207,car5,0.015645,0.536969,0.126512,-0.049540,0.069649,-0.015171,0.000000,0.222717,-0.011282,0.007141,0.000000,0.071282,0.223002,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
4.873249,1788506803.389888048,car4,0.022960,0.019110,0.132193,0.121889,0.076552,0.014998,0.000000,0.228175,0.002445,-0.002377,0.000000,0.078007,0.228188,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
4.873249,1788506803.389888048,car5,-0.006472,0.537936,0.124861,-0.021189,0.123448,-0.014998,0.000000,-0.089200,0.002288,-0.006607,0.000000,0.124356,0.089229,0.000000,0.000000,41.185993,35.466051,35.000000,42.881109,1
5.086245,1788506803.610032320,car4,0.034943,0.028366,0.131702,0.134514,0.100000,0.000000,0.000000,0.056638,0.041951,-0.000100,0.000000,0.100000,0.070482,0.000000,0.000000,35.000000,35.000000,38.354792,35.000000,1
5.086245,1788506803.610032320,car5,0.023691,0.536899,0.125092,0.003485,0.100000,0.000000,0.000000,0.129830,-0.004870,0.001346,0.000000,0.100000,0.129921,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
5.296154,1788506803.819891214,car4,0.050490,0.030812,0.131269,0.065926,0.116012,0.005866,0.000000,0.066848,0.012450,-0.001504,0.000000,0.116160,0.067998,0.000000,0.000000,35.000000,43.833516,49.107629,35.000000,1
5.296154,1788506803.819891214,car5,0.070536,0.538156,0.124560,0.030615,0.083988,-0.005866,0.000000,0.226099,0.005200,-0.002415,0.000000,0.084193,0.226158,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
5.497943,1788506804.019939899,car4,0.093465,0.033861,0.130984,0.063737,0.081004,0.003931,0.000000,0.205783,0.015083,-0.002032,0.000000,0.081100,0.206335,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
5.497943,1788506804.019939899,car5,0.069673,0.538785,0.124587,0.029894,0.118996,-0.003931,0.000000,0.029181,0.004352,-0.000136,0.000000,0.119061,0.029503,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
5.699506,1788506804.219933033,car4,0.111244,0.045183,0.130437,0.007000,0.067071,-0.004796,0.000000,0.110118,0.052794,-0.001509,0.000000,0.067242,0.122119,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
5.699506,1788506804.219933033,car5,0.069836,0.539152,0.124131,-0.030194,0.132929,0.004796,0.000000,-0.026905,0.000442,-0.002023,0.000000,0.133016,0.026909,0.000000,0.000000,37.511513,45.423722,43.008222,39.927014,1
5.901201,1788506804.420003176,car4,0.118333,0.050861,0.130262,-0.023719,0.100000,0.000000,0.000000,0.037208,0.033360,-0.002054,0.000000,0.100000,0.049973,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
5.901201,1788506804.420003176,car5,0.117651,0.538757,0.125713,-0.007764,0.100000,0.000000,0.000000,0.236890,-0.001454,0.006449,0.000000,0.100000,0.236894,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
6.114089,1788506804.639923334,car4,0.146511,0.049896,0.130806,-0.025500,0.100000,0.000000,0.000000,0.126566,-0.003607,0.000932,0.000000,0.100000,0.126618,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
6.114089,1788506804.639923334,car5,0.141621,0.538174,0.125118,0.034660,0.100000,0.000000,0.000000,0.139442,0.001537,0.002801,0.000000,0.100000,0.139450,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
6.317503,1788506804.820043325,car4,0.164154,0.052969,0.130024,0.065755,0.080178,-0.012356,0.000000,0.114416,0.011966,-0.001923,0.000000,0.081125,0.115040,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
6.317503,1788506804.820043325,car5,0.139305,0.537480,0.125154,0.046994,0.119822,0.012356,0.000000,-0.060579,-0.014652,-0.006732,0.000000,0.120457,0.062326,0.000000,0.000000,38.240422,43.630107,47.389626,35.000000,1
6.519319,1788506805.039937735,car4,0.168929,0.055184,0.130080,0.063167,0.110792,-0.010542,0.000000,0.024594,0.013253,0.000528,0.000000,0.111293,0.027937,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
6.519319,1788506805.039937735,car5,0.182435,0.541990,0.125208,0.066452,0.089208,0.010542,0.000000,0.227092,0.024162,0.000267,0.000000,0.089829,0.228374,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
