time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788750686.778821230,car4,-1.381184,0.268527,0.146097,-0.494149,0.067114,-0.239566,0.000000,-0.000272,0.000091,0.000451,0.000000,0.248789,0.000287,0.000000,0.000000,70.510513,35.000000,-35.000000,100.000000,1
0.000000,1788750686.778821230,car5,-1.127399,-0.137359,0.138762,-2.500425,-0.067114,0.239566,0.000000,0.001463,0.000129,0.000894,0.000000,0.248789,0.001468,0.000000,0.000000,35.000000,-55.359851,-100.000000,56.973170,1
0.201728,1788750686.978686810,car4,-1.385164,0.268015,0.145909,-0.388890,0.067838,-0.239364,0.000000,-0.010017,-0.000032,-0.000003,0.000000,0.248791,0.010017,0.000000,0.000000,78.393375,35.000000,-35.000000,100.000000,1
0.201728,1788750686.978686810,car5,-1.128587,-0.137309,0.139106,-2.483938,-0.067838,0.239364,0.000000,-0.001594,-0.000688,0.002205,0.000000,0.248791,0.001736,0.000000,0.000000,35.000000,-57.401535,-100.000000,50.771792,1
0.403364,1788750687.178705454,car4,-1.415236,0.259166,0.146767,-2.464804,0.079969,-0.235376,0.000000,-0.144231,-0.043918,0.001410,0.000000,0.248590,0.150769,0.000000,0.000000,-59.712344,100.000000,52.087952,-35.000000,1
0.403364,1788750687.178705454,car5,-1.120275,-0.109006,0.138377,-2.361338,-0.079969,0.235376,0.000000,0.042519,0.131825,0.000863,0.000000,0.248590,0.138512,0.000000,0.000000,35.000000,-54.318406,-100.000000,59.442481,1
0.606974,1788750687.368704796,car4,-1.420181,0.241399,0.147695,-2.252979,0.083379,-0.233769,0.000000,-0.048638,-0.083938,0.003435,0.000000,0.248193,0.097011,0.000000,0.000000,-38.073900,100.000000,57.452360,35.000000,1
0.606974,1788750687.368704796,car5,-1.125214,-0.085595,0.138954,-2.266493,-0.083379,0.233769,0.000000,-0.029091,0.128912,0.000792,0.000000,0.248193,0.132154,0.000000,0.000000,35.000000,-57.396176,-100.000000,45.940641,1
0.808529,1788750687.588719130,car4,-1.419613,0.212220,0.147102,-1.851125,0.089159,-0.230712,0.000000,0.010024,-0.147428,0.000820,0.000000,0.247340,0.147768,0.000000,0.000000,-35.000000,100.000000,57.776597,35.000000,1
0.808529,1788750687.588719130,car5,-1.124981,-0.050183,0.138590,-2.132615,-0.089159,0.230712,0.000000,0.014834,0.185150,-0.000635,0.000000,0.247340,0.185743,0.000000,0.000000,35.000000,-55.655036,-100.000000,47.331797,1
1.017125,1788750687.778692484,car4,-1.409688,0.170347,0.147661,0.895749,0.094188,-0.227308,0.000000,0.035885,-0.208393,0.001908,0.000000,0.246049,0.211460,0.000000,0.000000,71.177947,-74.541757,-35.000000,35.000000,1
1.017125,1788750687.778692484,car5,-1.120629,-0.027251,0.140554,-1.946203,-0.094188,0.227308,0.000000,0.001044,0.124761,0.004376,0.000000,0.246049,0.124765,0.000000,0.000000,-35.000000,-59.015533,-100.000000,35.000000,1
1.219532,1788750687.998682976,car4,-1.404402,0.143247,0.146488,-1.373219,0.097774,-0.224082,0.000000,0.021098,-0.120855,-0.005355,0.000000,0.244485,0.122682,0.000000,0.000000,35.000000,100.000000,55.353248,60.405487,1
1.219532,1788750687.998682976,car5,-1.123462,-0.000624,0.141332,-1.650200,-0.097774,0.224082,0.000000,-0.001302,0.148305,0.004518,0.000000,0.244485,0.148311,0.000000,0.000000,-35.000000,-59.195970,-100.000000,35.000000,1
1.421269,1788750688.198753119,car4,-1.382326,0.084063,0.144807,-1.182450,0.096706,-0.217980,0.000000,0.100080,-0.281397,-0.006829,0.000000,0.238469,0.298664,0.000000,0.000000,35.000000,100.000000,44.931384,71.965699,1
1.421269,1788750688.198753119,car5,-1.144952,0.049009,0.139875,-1.019974,-0.096706,0.217980,0.000000,-0.044419,0.163095,0.002930,0.000000,0.238469,0.169035,0.000000,0.000000,-67.726172,-50.505658,-100.000000,-35.000000,1
1.623403,1788750688.288696527,car4,-1.370103,0.059748,0.145508,-1.096576,0.092088,-0.216264,0.000000,0.135274,-0.311668,-0.003431,0.000000,0.235054,0.339759,0.000000,0.000000,35.000000,91.634804,35.000000,73.715594,1
1.623403,1788750688.288696527,car5,-1.157088,0.059493,0.139065,-0.934621,-0.092088,0.216264,0.000000,-0.159128,0.166018,-0.003454,0.000000,0.235054,0.229965,0.000000,0.000000,-92.488584,-35.000000,-91.296384,-35.000000,1
1.826236,1788750688.608654499,car4,-1.299505,-0.031115,0.143172,-0.655314,0.072491,-0.208382,0.000000,0.235669,-0.252365,-0.000558,0.000000,0.220631,0.345295,0.000000,0.000000,35.000000,35.000000,-35.000000,78.198902,1
1.826236,1788750688.608654499,car5,-1.157088,0.059493,0.139065,-0.934621,-0.072491,0.208382,0.000000,-0.159128,0.166018,-0.003454,0.000000,0.220631,0.229965,0.000000,0.000000,-94.163868,-35.000000,-77.154931,-35.000000,1
2.028037,1788750688.738787174,car4,-1.278081,-0.052906,0.143935,-0.360563,0.001397,-0.198813,0.000000,0.206786,-0.211452,-0.005542,0.000000,0.198818,0.295758,0.000000,0.000000,35.000000,-35.000000,-58.180450,45.494886,1
2.028037,1788750688.738787174,car5,-1.275697,0.107849,0.140368,-0.151624,-0.001397,0.198813,0.000000,-0.190498,0.148464,-0.001549,0.000000,0.198818,0.241519,0.000000,0.000000,-37.700318,48.092639,35.962740,-35.000000,1
2.230764,1788750688.988741875,car4,-1.255597,-0.074497,0.143518,-0.025879,-0.012145,-0.191933,0.000000,0.066948,-0.083449,0.009359,0.000000,0.192317,0.106984,0.000000,0.000000,35.000000,-61.888465,-63.958751,35.000000,1
2.230764,1788750688.988741875,car5,-1.275697,0.107849,0.140368,-0.151624,0.012145,0.191933,0.000000,-0.190498,0.148464,-0.001549,0.000000,0.192317,0.241519,0.000000,0.000000,-35.000000,64.117474,51.987575,-35.000000,1
2.432692,1788750689.118757725,car4,-1.258452,-0.080153,0.141587,0.054095,-0.010507,-0.190100,0.000000,0.044454,-0.074089,0.004509,0.000000,0.190390,0.086402,0.000000,0.000000,36.926263,-74.435027,-70.107438,35.000000,1
2.432692,1788750689.118757725,car5,-1.275697,0.107849,0.140368,-0.151624,0.010507,0.190100,0.000000,-0.190498,0.148464,-0.001549,0.000000,0.190390,0.241519,0.000000,0.000000,-35.000000,74.229724,62.099825,-35.000000,1
2.634853,1788750689.118757725,car4,-1.258452,-0.080153,0.141587,0.054095,-0.010507,-0.190100,0.000000,0.044454,-0.074089,0.004509,0.000000,0.190390,0.086402,0.000000,0.000000,39.435442,-82.878400,-78.550810,35.107852,1
2.634853,1788750689.118757725,car5,-1.275697,0.107849,0.140368,-0.151624,0.010507,0.190100,0.000000,-0.190498,0.148464,-0.001549,0.000000,0.190390,0.241519,0.000000,0.000000,-35.000000,77.699715,65.569816,-35.000000,1
2.836761,1788750689.118757725,car4,-1.258452,-0.080153,0.141587,0.054095,-0.010507,-0.190100,0.000000,0.044454,-0.074089,0.004509,0.000000,0.190390,0.086402,0.000000,0.000000,41.941482,-91.311210,-86.983620,37.613892,1
2.836761,1788750689.118757725,car5,-1.275697,0.107849,0.140368,-0.151624,0.010507,0.190100,0.000000,-0.190498,0.148464,-0.001549,0.000000,0.190390,0.241519,0.000000,0.000000,-35.000000,81.165365,69.035466,-35.000000,1
