time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788759864.105542421,car4,-1.243450,-0.206477,0.139559,-1.087215,0.212857,0.129590,0.000000,0.000018,0.000043,-0.000027,0.000000,0.249202,0.000046,0.000000,0.000000,-100.000000,91.091561,38.852484,-47.760924,1
0.000000,1788759864.105542421,car5,-0.384148,0.816679,0.131019,-0.010371,-0.212857,-0.129590,0.000000,-0.000071,0.000188,-0.000102,0.000000,0.249202,0.000201,0.000000,0.000000,-23.187260,-100.000000,-100.000000,-23.187260,1
0.202692,1788759864.325483799,car4,-1.243531,-0.206468,0.139554,-1.084662,0.212866,0.129576,0.000000,-0.000010,0.000006,0.000199,0.000000,0.249202,0.000012,0.000000,0.000000,-100.000000,90.197941,38.207004,-48.009063,1
0.202692,1788759864.325483799,car5,-0.384167,0.816646,0.131009,-0.010554,-0.212866,-0.129576,0.000000,-0.000013,-0.000418,0.000232,0.000000,0.249202,0.000418,0.000000,0.000000,-19.037038,-100.000000,-100.000000,-19.037038,1
0.404899,1788759864.525445461,car4,-1.233369,-0.203040,0.139365,-0.867417,0.211063,0.132195,0.000000,0.043495,0.012755,0.000209,0.000000,0.249044,0.045327,0.000000,0.000000,-85.583204,100.000000,49.059715,-34.642919,1
0.404899,1788759864.525445461,car5,-0.404698,0.815981,0.131182,-0.072848,-0.211063,-0.132195,0.000000,-0.092057,-0.000147,0.000900,0.000000,0.249044,0.092057,0.000000,0.000000,-10.298657,-95.602655,-100.000000,-5.901313,1
0.606718,1788759864.715413570,car4,-1.211027,-0.193856,0.139175,-0.505303,0.209730,0.133747,0.000000,0.117656,0.049326,-0.000926,0.000000,0.248747,0.127577,0.000000,0.000000,-52.708739,100.000000,67.137417,-19.846156,1
0.606718,1788759864.715413570,car5,-0.422363,0.809081,0.130776,-0.051136,-0.209730,-0.133747,0.000000,-0.112821,-0.040050,-0.002185,0.000000,0.248747,0.119719,0.000000,0.000000,-10.432340,-96.887330,-100.000000,-7.319669,1
0.808650,1788759864.915442705,car4,-1.182476,-0.184595,0.138664,-0.302447,0.208085,0.135751,0.000000,0.144831,0.049668,-0.004706,0.000000,0.248450,0.153111,0.000000,0.000000,-35.380344,100.000000,79.632109,-15.012453,1
0.808650,1788759864.915442705,car5,-0.426961,0.808289,0.131246,-0.036467,-0.208085,-0.135751,0.000000,-0.024768,-0.005622,0.003108,0.000000,0.248450,0.025398,0.000000,0.000000,-10.258562,-97.767995,-100.000000,-8.026557,1
1.010502,1788759865.125407219,car4,-1.145044,-0.170708,0.139169,-0.236573,0.206309,0.137576,0.000000,0.179753,0.066877,-0.000192,0.000000,0.247973,0.191790,0.000000,0.000000,-33.002890,100.000000,83.413858,-16.416748,1
1.010502,1788759865.125407219,car5,-0.429523,0.806433,0.131447,-0.028359,-0.206309,-0.137576,0.000000,-0.010817,-0.009980,0.000993,0.000000,0.247973,0.014717,0.000000,0.000000,-9.130382,-100.000000,-100.000000,-9.130382,1
1.212663,1788759865.335502863,car4,-1.099681,-0.158519,0.138867,-0.130714,0.202678,0.141134,0.000000,0.216834,0.059384,-0.001508,0.000000,0.246976,0.224818,0.000000,0.000000,-29.992446,100.000000,90.077465,-20.069911,1
1.212663,1788759865.335502863,car5,-0.445469,0.797040,0.131711,-0.043311,-0.202678,-0.141134,0.000000,-0.075500,-0.043639,0.001272,0.000000,0.246976,0.087205,0.000000,0.000000,-8.439262,-97.354284,-100.000000,-5.793547,1
1.421966,1788759865.545490503,car4,-1.058694,-0.138554,0.137271,2.115414,0.199630,0.142984,0.000000,0.190712,0.093149,-0.005152,0.000000,0.245554,0.212244,0.000000,0.000000,71.410998,-47.619625,12.380375,11.410998,1
1.421966,1788759865.545490503,car5,-0.459925,0.790311,0.132018,-0.082469,-0.199630,-0.142984,0.000000,-0.068727,-0.033272,0.003993,0.000000,0.245554,0.076357,0.000000,0.000000,-6.749764,-95.021578,-100.000000,-1.771342,1
1.623703,1788759865.735353708,car4,-1.029318,-0.134782,0.137309,1.758507,0.196067,0.146136,0.000000,0.182557,0.043602,-0.005031,0.000000,0.244536,0.187692,0.000000,0.000000,95.276991,-15.837822,44.162178,35.276991,1
1.623703,1788759865.735353708,car5,-0.464868,0.785923,0.132778,-0.067588,-0.196067,-0.146136,0.000000,-0.041933,-0.026757,0.003498,0.000000,0.244536,0.049743,0.000000,0.000000,-6.110134,-95.893241,-100.000000,-2.003375,1
1.825296,1788759865.945538759,car4,-1.008194,-0.159701,0.136853,1.293250,0.188739,0.155364,0.000000,0.102098,-0.111318,-0.001489,0.000000,0.244459,0.151049,0.000000,0.000000,100.000000,27.538626,82.021851,45.516775,1
1.825296,1788759865.945538759,car5,-0.466380,0.786301,0.133314,-0.069117,-0.188739,-0.155364,0.000000,-0.011225,0.002005,0.004172,0.000000,0.244459,0.011403,0.000000,0.000000,-3.541757,-95.807335,-100.000000,0.650908,1
2.027018,1788759866.095438957,car4,-0.993051,-0.191210,0.136959,1.005891,0.181633,0.164090,0.000000,0.113084,-0.207293,0.000991,0.000000,0.244778,0.236132,0.000000,0.000000,72.776359,51.633221,100.000000,24.409580,1
2.027018,1788759866.095438957,car5,-0.465373,0.785501,0.132791,-0.066871,-0.181633,-0.164090,0.000000,0.005248,-0.003615,-0.002383,0.000000,0.244778,0.006373,0.000000,0.000000,-1.179175,-95.944098,-100.000000,2.876727,1
2.228646,1788759866.345445395,car4,-0.970641,-0.269007,0.137031,0.600178,0.165464,0.181929,0.000000,0.118790,-0.405080,0.002404,0.000000,0.245920,0.422139,0.000000,0.000000,42.268950,66.471256,100.000000,8.740205,1
2.228646,1788759866.345445395,car5,-0.465973,0.785880,0.132493,-0.064123,-0.165464,-0.181929,0.000000,-0.003078,0.002287,-0.001611,0.000000,0.245920,0.003835,0.000000,0.000000,3.928496,-96.104612,-100.000000,7.823884,1
2.430512,1788759866.535402298,car4,-0.965484,-0.325519,0.136829,0.310225,0.155995,0.191270,0.000000,0.037653,-0.332931,-0.005722,0.000000,0.246817,0.335054,0.000000,0.000000,19.113604,82.361106,100.000000,1.474710,1
2.430512,1788759866.535402298,car5,-0.466729,0.786019,0.132363,-0.077541,-0.155995,-0.191270,0.000000,0.000382,-0.000465,-0.000889,0.000000,0.246817,0.000602,0.000000,0.000000,7.065440,-95.293376,-100.000000,11.772064,1
