time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788750919.628830671,car4,-1.576363,0.759962,0.150589,-1.636606,0.124497,-0.216689,0.000000,-0.000010,0.000085,-0.000206,0.000000,0.249907,0.000086,0.000000,0.000000,-38.373983,100.000000,72.642902,58.983115,1
0.000000,1788750919.628830671,car5,-0.907631,0.096024,0.135428,2.418409,-0.124497,0.216689,0.000000,0.000759,0.000117,0.000328,0.000000,0.249907,0.000767,0.000000,0.000000,100.000000,45.282827,74.631768,70.651059,1
0.204620,1788750919.829043388,car4,-1.575792,0.757937,0.150492,-1.594613,0.124098,-0.216914,0.000000,0.001646,0.000288,0.000994,0.000000,0.249904,0.001671,0.000000,0.000000,-37.474331,100.000000,74.226649,58.299020,1
0.204620,1788750919.829043388,car5,-0.911799,0.097325,0.134478,2.390569,-0.124098,0.216914,0.000000,-0.012727,0.001192,-0.004732,0.000000,0.249904,0.012783,0.000000,0.000000,100.000000,43.952762,72.488777,71.463985,1
0.408837,1788750920.018743277,car4,-1.557573,0.716336,0.148255,1.173895,0.122926,-0.217467,0.000000,0.078482,-0.202774,-0.011196,0.000000,0.249805,0.217432,0.000000,0.000000,69.110164,-87.511825,-48.511825,-39.889836,1
0.408837,1788750920.018743277,car5,-0.953959,0.148490,0.138672,2.280794,-0.122926,0.217467,0.000000,-0.203333,0.243409,0.021607,0.000000,0.249805,0.317163,0.000000,0.000000,100.000000,37.358013,73.451562,63.906451,1
0.610409,1788750920.228716612,car4,-1.527425,0.681516,0.150479,-1.383117,0.118924,-0.219429,0.000000,0.161516,-0.200629,0.011440,0.000000,0.249583,0.257565,0.000000,0.000000,45.027481,100.000000,65.271208,79.756272,1
0.610409,1788750920.228716612,car5,-0.999628,0.207669,0.139077,2.099340,-0.118924,0.219429,0.000000,-0.235505,0.305384,0.003300,0.000000,0.249583,0.385645,0.000000,0.000000,95.128943,-37.369756,71.630244,56.128943,1
0.813397,1788750920.438794851,car4,-1.514402,0.625665,0.150001,-1.289560,0.123085,-0.216661,0.000000,0.061856,-0.252424,-0.004914,0.000000,0.249182,0.259893,0.000000,0.000000,38.684446,100.000000,68.738309,69.946137,1
0.813397,1788750920.438794851,car5,-1.019366,0.254273,0.138547,1.708531,-0.123085,0.216661,0.000000,-0.140040,0.258945,-0.001898,0.000000,0.249182,0.294387,0.000000,0.000000,81.998241,50.382510,89.382510,42.998241,1
1.015151,1788750920.640171289,car4,-1.489070,0.566829,0.149128,-1.131191,0.132699,-0.209626,0.000000,0.148807,-0.349196,0.001078,0.000000,0.248097,0.379581,0.000000,0.000000,-37.016875,100.000000,61.999241,70.983885,1
1.015151,1788750920.640171289,car5,-1.023791,0.331821,0.139570,1.356505,-0.132699,0.209626,0.000000,-0.021671,0.341414,0.007386,0.000000,0.248097,0.342101,0.000000,0.000000,42.806137,50.757920,89.757920,-66.193863,1
1.217477,1788750920.838850498,car4,-1.451698,0.517248,0.147239,-1.179006,0.141706,-0.201172,0.000000,0.187220,-0.249551,-0.001155,0.000000,0.246071,0.311973,0.000000,0.000000,37.430796,100.000000,63.703180,73.727616,1
1.217477,1788750920.838850498,car5,-1.016353,0.399211,0.141040,1.018602,-0.141706,0.201172,0.000000,0.026046,0.370401,0.005422,0.000000,0.246071,0.371315,0.000000,0.000000,-52.736760,38.941232,77.941232,-91.736760,1
1.419400,1788750921.048710346,car4,-1.434191,0.479976,0.147902,-1.589369,0.148277,-0.193602,0.000000,0.085750,-0.207625,0.003722,0.000000,0.243860,0.224636,0.000000,0.000000,-49.720384,100.000000,70.707619,49.571997,1
1.419400,1788750921.048710346,car5,-1.017351,0.435718,0.140778,0.920203,-0.148277,0.193602,0.000000,0.004643,0.200841,0.002491,0.000000,0.243860,0.200895,0.000000,0.000000,-63.298602,44.545637,81.247035,-100.000000,1
1.621184,1788750921.218699932,car4,-1.427100,0.458127,0.147049,0.854504,0.152707,-0.187475,0.000000,0.050625,-0.126513,-0.003201,0.000000,0.241798,0.136266,0.000000,0.000000,92.547397,-78.855671,-39.855671,53.547397,1
1.621184,1788750921.218699932,car5,-1.023138,0.462190,0.140144,0.828772,-0.152707,0.187475,0.000000,-0.025779,0.177471,-0.000400,0.000000,0.241798,0.179334,0.000000,0.000000,-66.860771,41.699131,74.838360,-100.000000,1
1.822983,1788750921.448675156,car4,-1.414134,0.424473,0.147750,-1.213765,0.162191,-0.173820,0.000000,0.059635,-0.170267,0.002219,0.000000,0.237738,0.180408,0.000000,0.000000,-39.461164,100.000000,72.837100,57.701736,1
1.822983,1788750921.448675156,car5,-1.021505,0.503692,0.139401,0.639376,-0.162191,0.173820,0.000000,-0.009770,0.168103,0.001085,0.000000,0.237738,0.168387,0.000000,0.000000,-74.382958,39.037986,64.655028,-100.000000,1
2.024757,1788750921.638667822,car4,-1.389893,0.391609,0.147241,-0.673258,0.171333,-0.158111,0.000000,0.125144,-0.170506,-0.000425,0.000000,0.233140,0.211503,0.000000,0.000000,47.033161,100.000000,70.635998,76.397163,1
2.024757,1788750921.638667822,car5,-1.004607,0.536059,0.140253,0.563313,-0.171333,0.158111,0.000000,0.088758,0.168909,0.006938,0.000000,0.233140,0.190810,0.000000,0.000000,-79.024956,39.847772,60.822816,-100.000000,1
2.228863,1788750921.838636875,car4,-1.326751,0.356319,0.145806,-0.460197,0.167263,-0.145945,0.000000,0.262623,-0.169924,-0.009644,0.000000,0.221984,0.312802,0.000000,0.000000,51.461437,84.327886,60.397663,75.391660,1
2.228863,1788750921.838636875,car5,-0.994253,0.566198,0.139411,0.459466,-0.167263,0.145945,0.000000,0.056045,0.158231,-0.001446,0.000000,0.221984,0.167863,0.000000,0.000000,-82.485540,37.658630,55.173090,-100.000000,1
2.432608,1788750922.038698196,car4,-1.262043,0.325576,0.144636,-0.393421,0.160371,-0.129992,0.000000,0.340351,-0.165833,-0.004713,0.000000,0.206439,0.378602,0.000000,0.000000,42.235033,68.762030,48.304159,62.692904,1
2.432608,1788750922.038698196,car5,-0.976881,0.594433,0.140958,0.450448,-0.160371,0.129992,0.000000,0.087475,0.149585,0.005553,0.000000,0.206439,0.173285,0.000000,0.000000,-82.380977,35.877759,53.496782,-100.000000,1
2.634468,1788750922.248633385,car4,-1.209039,0.298489,0.143422,-0.554654,0.148155,-0.109631,0.000000,0.272313,-0.132104,-0.005470,0.000000,0.184306,0.302665,0.000000,0.000000,-36.493383,78.495065,49.653039,62.348644,1
2.634468,1788750922.248633385,car5,-0.971808,0.622946,0.140214,0.366237,-0.148155,0.109631,0.000000,0.059177,0.138532,0.001699,0.000000,0.184306,0.150642,0.000000,0.000000,-84.791079,-36.925406,48.283516,-100.000000,1
2.836615,1788750922.448665619,car4,-1.170009,0.282654,0.143406,-0.842260,0.127691,-0.096032,0.000000,0.207630,-0.090257,0.001162,0.000000,0.159772,0.226400,0.000000,0.000000,-45.915082,89.220427,50.220427,63.084918,1
2.836615,1788750922.448665619,car5,-0.981039,0.640536,0.140104,0.286892,-0.127691,0.096032,0.000000,-0.034596,0.094778,0.006758,0.000000,0.159772,0.100894,0.000000,0.000000,-86.854775,-39.342339,43.802886,-100.000000,1
3.043528,1788750922.668646812,car4,-1.131353,0.260729,0.144492,-0.351586,0.197099,-0.065568,0.000000,0.177117,-0.105664,0.002131,0.000000,0.207719,0.206241,0.000000,0.000000,40.687766,94.745650,76.463184,58.970233,1
3.043528,1788750922.668646812,car5,-0.999700,0.671828,0.139977,-0.462862,0.002901,0.065568,0.000000,-0.081179,0.125079,-0.001883,0.000000,0.065632,0.149113,0.000000,0.000000,-79.144319,58.702237,-35.366563,-55.075519,1
3.245171,1788750922.860323191,car4,-1.077205,0.251791,0.142271,-0.100820,0.160815,-0.051247,0.000000,0.271442,-0.058906,-0.008475,0.000000,0.168783,0.277760,0.000000,0.000000,39.322387,63.398658,58.155994,44.565051,1
3.245171,1788750922.860323191,car5,-0.998454,0.685430,0.139218,-0.718666,0.039185,0.051247,0.000000,-0.058239,0.130937,-0.006218,0.000000,0.064511,0.143305,0.000000,0.000000,-79.366822,75.577612,38.206956,-41.996166,1
3.446856,1788750923.068604708,car4,-1.005678,0.247251,0.142326,-0.007892,0.099926,-0.024742,0.000000,0.363560,-0.027228,-0.000655,0.000000,0.102944,0.364578,0.000000,0.000000,-52.718450,39.749232,39.338841,-52.308059,1
3.446856,1788750923.068604708,car5,-1.005771,0.716222,0.141039,-0.198584,0.100074,0.024742,0.000000,-0.048522,0.083516,0.001677,0.000000,0.103087,0.096588,0.000000,0.000000,-39.594685,75.440746,65.114376,40.731685,1
3.650917,1788750923.268858433,car4,-0.984609,0.258785,0.141035,2.232662,0.105839,-0.029258,0.000000,0.130130,0.050843,-0.005693,0.000000,0.109809,0.139709,0.000000,0.000000,-49.951274,-68.797091,40.202909,-88.951274,1
3.650917,1788750923.268858433,car5,-0.977275,0.722037,0.140391,0.136344,0.094161,0.029258,0.000000,0.061582,0.057089,0.000907,0.000000,0.098602,0.083973,0.000000,0.000000,37.891694,55.394961,62.484866,-39.198212,1
3.854285,1788750923.478838205,car4,-0.989318,0.262506,0.139799,-0.054383,0.154076,-0.013590,0.000000,0.002833,0.026037,-0.006143,0.000000,0.154675,0.026191,0.000000,0.000000,50.329785,70.732816,67.904891,53.157710,1
3.854285,1788750923.478838205,car5,-0.920567,0.745229,0.141122,0.349310,0.045924,0.013590,0.000000,0.222330,0.090234,0.002226,0.000000,0.047892,0.239943,0.000000,0.000000,-50.697723,-45.873939,42.290202,-68.861864,1
4.057396,1788750923.668633938,car4,-0.941171,0.254873,0.142145,-0.199356,0.100000,0.000000,0.000000,0.248266,-0.028507,0.011502,0.000000,0.100000,0.249897,0.000000,0.000000,-58.992187,50.088918,39.722418,-48.625687,1
4.057396,1788750923.668633938,car5,-0.928518,0.762593,0.141158,-0.057131,0.100000,0.000000,0.000000,-0.023104,0.096948,0.004322,0.000000,0.100000,0.099663,0.000000,0.000000,43.088716,54.804425,51.833608,46.059533,1
