time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788751218.008897066,car4,-0.752829,0.383331,0.140636,-2.805391,-0.042125,0.119671,0.000000,-0.001182,0.000711,-0.000769,0.000000,0.126869,0.001380,0.000000,0.000000,42.187410,-42.209367,-81.209367,81.187410,1
0.000000,1788751218.008897066,car5,-0.810865,1.048203,0.137852,-0.300211,0.042125,-0.119671,0.000000,0.001231,-0.000424,0.000936,0.000000,0.126869,0.001302,0.000000,0.000000,64.557702,37.165355,-48.445611,80.168668,1
0.201693,1788751218.208804369,car4,-0.753709,0.388794,0.141197,-2.734966,-0.041603,0.114976,0.000000,-0.005869,0.023629,0.001620,0.000000,0.122271,0.024347,0.000000,0.000000,41.955662,-44.496272,-83.496272,80.955662,1
0.201693,1788751218.208804369,car5,-0.810581,1.045964,0.137423,-0.238865,0.041603,-0.114976,0.000000,0.020934,-0.035222,-0.005495,0.000000,0.122271,0.040974,0.000000,0.000000,65.405070,-36.831185,-49.252152,77.826037,1
0.403330,1788751218.408941746,car4,-0.751223,0.415271,0.141035,-2.419504,-0.023024,0.080846,0.000000,0.009990,0.134256,0.000229,0.000000,0.084061,0.134627,0.000000,0.000000,-40.232912,42.102658,-66.897342,68.767088,1
0.403330,1788751218.408941746,car5,-0.781167,1.020418,0.138230,0.071328,0.023024,-0.080846,0.000000,0.154305,-0.129210,0.003982,0.000000,0.084061,0.201259,0.000000,0.000000,37.221921,-53.679501,-49.970453,-36.487127,1
0.605095,1788751218.588724375,car4,-0.748055,0.432503,0.141441,-1.637710,-0.016317,0.061289,0.000000,0.021555,0.099905,0.000909,0.000000,0.063424,0.102203,0.000000,0.000000,-45.592942,42.343864,-66.656136,63.407058,1
0.605095,1788751218.588724375,car5,-0.768906,1.010826,0.138579,-0.015264,0.016317,-0.061289,0.000000,0.067028,-0.055126,0.000527,0.000000,0.063424,0.086785,0.000000,0.000000,39.621953,-49.850994,-49.850994,39.621953,1
0.807084,1788751218.808821917,car4,-0.752960,0.441013,0.140837,-0.555918,-0.026072,0.055542,0.000000,-0.027787,0.047011,-0.001605,0.000000,0.061357,0.054609,0.000000,0.000000,-52.899660,44.340908,-54.566806,46.008054,1
0.807084,1788751218.808821917,car5,-0.786229,1.011888,0.136369,0.008496,0.026072,-0.055542,0.000000,-0.054161,0.002481,-0.006825,0.000000,0.061357,0.054218,0.000000,0.000000,57.886199,-41.886423,-41.886423,57.886199,1
