time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788751133.278649807,car4,-0.840436,0.005425,0.138535,0.227419,0.067500,0.127043,0.000000,-0.000333,-0.000100,-0.000102,0.000000,0.143861,0.000348,0.000000,0.000000,35.000000,56.870222,75.063747,-35.000000,1
0.000000,1788751133.278649807,car5,-0.744305,0.686356,0.136348,-0.259707,-0.067500,-0.127043,0.000000,-0.001205,0.000921,0.000340,0.000000,0.143861,0.001517,0.000000,0.000000,35.000000,-45.611414,-66.388005,45.553195,1
0.201780,1788751133.488785267,car4,-0.840619,0.005330,0.138405,0.225374,0.067731,0.126789,0.000000,-0.000407,-0.000285,-0.000015,0.000000,0.143746,0.000497,0.000000,0.000000,35.000000,66.763156,84.793110,-35.000000,1
0.201780,1788751133.488785267,car5,-0.744183,0.685854,0.136299,-0.221846,-0.067731,-0.126789,0.000000,-0.000539,0.000202,0.000145,0.000000,0.143746,0.000576,0.000000,0.000000,35.000000,-56.797026,-74.544670,46.870039,1
0.403473,1788751133.688687563,car4,-0.812439,0.017991,0.139404,-0.122705,0.054935,0.110963,0.000000,0.133621,0.060268,0.005345,0.000000,0.123817,0.146584,0.000000,0.000000,-38.979554,47.237176,37.420744,-35.000000,1
0.403473,1788751133.688687563,car5,-0.737151,0.670067,0.136814,-0.068667,-0.054935,-0.110963,0.000000,0.032817,-0.078954,0.002813,0.000000,0.123817,0.085502,0.000000,0.000000,35.000000,-60.206936,-65.700275,35.000000,1
0.605216,1788751133.888669014,car4,-0.789676,0.030098,0.139724,-0.212635,0.040105,0.092707,0.000000,0.116250,0.059350,0.001335,0.000000,0.101009,0.130524,0.000000,0.000000,-46.421459,35.474530,35.000000,-35.000000,1
0.605216,1788751133.888669014,car5,-0.736514,0.652987,0.137138,0.105948,-0.040105,-0.092707,0.000000,0.014241,-0.089577,0.001874,0.000000,0.101009,0.090702,0.000000,0.000000,35.000000,-57.785553,-49.309697,-35.000000,1
0.807153,1788751134.088693380,car4,-0.783302,0.035311,0.139616,-0.238331,0.043410,0.087541,0.000000,0.032090,0.031354,-0.001891,0.000000,0.097713,0.044865,0.000000,0.000000,-44.818624,50.925951,35.000000,-35.000000,1
0.807153,1788751134.088693380,car5,-0.725991,0.650883,0.137048,-0.006288,-0.043410,-0.087541,0.000000,0.028403,0.008576,0.001115,0.000000,0.097713,0.029670,0.000000,0.000000,35.000000,-70.827222,-71.330244,35.000000,1
