time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788751049.878793001,car4,-0.887910,0.050512,0.138730,0.087020,0.004731,0.056758,0.000000,0.000345,-0.000191,0.000455,0.000000,0.056955,0.000394,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
0.000000,1788751049.878793001,car5,-0.881890,0.622728,0.137914,-0.137677,-0.004731,-0.056758,0.000000,-0.000067,0.000148,0.000028,0.000000,0.056955,0.000162,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
0.207757,1788751050.089124680,car4,-0.885573,0.051879,0.139230,0.096286,0.002985,0.055745,0.000000,0.007780,0.004205,0.002182,0.000000,0.055824,0.008843,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
0.207757,1788751050.089124680,car5,-0.881778,0.622754,0.137968,-0.140495,-0.002985,-0.055745,0.000000,0.000368,0.000088,0.000019,0.000000,0.055824,0.000379,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
0.411650,1788751050.288914919,car4,-0.884725,0.059149,0.139392,0.036009,0.004535,0.045945,0.000000,0.009240,0.027994,-0.000100,0.000000,0.046168,0.029480,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
0.411650,1788751050.288914919,car5,-0.878990,0.617247,0.138246,-0.175573,-0.004535,-0.045945,0.000000,0.005488,-0.018529,0.001429,0.000000,0.046168,0.019324,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
0.615401,1788751050.498776197,car4,-0.884671,0.063689,0.138093,0.035890,0.007252,0.036765,0.000000,0.002234,0.023330,-0.004506,0.000000,0.037473,0.023437,0.000000,0.000000,-35.000000,35.000000,35.000000,-35.000000,1
0.615401,1788751050.498776197,car5,-0.875538,0.609994,0.139218,-0.164726,-0.007252,-0.036765,0.000000,0.020969,-0.043909,0.004019,0.000000,0.037473,0.048660,0.000000,0.000000,35.000000,-35.000000,-35.000000,35.000000,1
0.817648,1788751050.698695660,car4,-0.885478,0.066490,0.138180,2.226557,0.014675,0.024454,0.000000,-0.003962,0.014593,-0.002149,0.000000,0.028520,0.015122,0.000000,0.000000,35.000000,-35.000000,35.000000,-35.000000,1
0.817648,1788751050.698695660,car5,-0.867054,0.597192,0.139486,-0.103181,-0.014675,-0.024454,0.000000,0.048441,-0.054299,0.007123,0.000000,0.028520,0.072766,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
1.020554,1788751050.888878345,car4,-0.879818,0.070954,0.140309,-0.376911,0.001960,0.016552,0.000000,0.023226,0.020862,0.010301,0.000000,0.016667,0.031220,0.000000,0.000000,-35.000000,35.000000,-35.000000,35.000000,1
1.020554,1788751050.888878345,car5,-0.877365,0.591675,0.140224,0.105507,-0.001960,-0.016552,0.000000,-0.027264,-0.038665,0.001008,0.000000,0.016667,0.047311,0.000000,0.000000,35.000000,-35.000000,-35.000000,-35.000000,1
1.223102,1788751051.108741522,car4,-0.882276,0.070578,0.140374,-0.121690,-0.012286,0.014002,0.000000,-0.005466,0.000952,0.001509,0.000000,0.018628,0.005548,0.000000,0.000000,-35.000000,35.000000,-35.000000,-35.000000,1
1.223102,1788751051.108741522,car5,-0.897662,0.588113,0.138108,0.153895,0.012286,-0.014002,0.000000,-0.069234,-0.036667,-0.002605,0.000000,0.018628,0.078344,0.000000,0.000000,35.000000,-35.000000,35.000000,35.000000,1
1.425561,1788751051.308848858,car4,-0.895520,0.069789,0.139540,0.218093,0.000000,0.000000,0.000000,-0.061962,-0.006412,-0.005398,0.000000,0.000000,0.062293,0.000000,0.000000,35.000000,-35.000000,35.000000,-35.000000,1
1.425561,1788751051.308848858,car5,-0.902350,0.585910,0.137956,-0.145503,0.000000,0.000000,0.000000,-0.054539,-0.027573,-0.002252,0.000000,0.000000,0.061113,0.000000,0.000000,-35.000000,35.000000,-35.000000,35.000000,1
1.627337,1788751051.498774052,car4,-0.892125,0.074008,0.139468,0.046441,0.016719,0.004517,0.000000,-0.001410,0.024111,0.000200,0.000000,0.017318,0.024152,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
1.627337,1788751051.498774052,car5,-0.871193,0.579663,0.139182,-0.117588,-0.016719,-0.004517,0.000000,0.158366,-0.030774,0.007652,0.000000,0.017318,0.161328,0.000000,0.000000,-35.000000,-35.000000,-35.117990,-35.000000,1
1.829206,1788751051.688778400,car4,-0.870167,0.071534,0.139798,0.002291,0.000000,0.000000,0.000000,0.103163,-0.008363,0.004984,0.000000,0.000000,0.103502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
1.829206,1788751051.688778400,car5,-0.883633,0.573660,0.139751,0.102892,0.000000,0.000000,0.000000,-0.038489,-0.037928,-0.000243,0.000000,0.000000,0.054036,0.000000,0.000000,35.000000,-35.000000,35.000000,-35.000000,1
2.031567,1788751051.908601761,car4,-0.862090,0.070276,0.139331,0.177467,-0.026803,0.009644,0.000000,0.063913,-0.013664,-0.004208,0.000000,0.028485,0.065357,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.708043,1
2.031567,1788751051.908601761,car5,-0.895740,0.582383,0.138377,-0.368011,0.026803,-0.009644,0.000000,-0.014262,0.028335,0.000174,0.000000,0.028485,0.031722,0.000000,0.000000,35.000000,35.000000,-35.000000,35.000000,1
2.233904,1788751052.088657379,car4,-0.890406,0.067995,0.139314,0.108860,0.000000,0.000000,0.000000,-0.110781,-0.008713,0.000521,0.000000,0.000000,0.111123,0.000000,0.000000,35.000000,-35.000000,35.000000,-35.000000,1
2.233904,1788751052.088657379,car5,-0.877678,0.571763,0.138294,-0.392956,0.000000,0.000000,0.000000,0.014209,0.005644,-0.000322,0.000000,0.000000,0.015289,0.000000,0.000000,-35.000000,35.000000,-35.000000,35.000000,1
2.438138,1788751052.298621416,car4,-0.895047,0.070124,0.140242,-0.142228,0.025820,-0.014205,0.000000,-0.025029,0.013249,0.006738,0.000000,0.029469,0.028319,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
2.438138,1788751052.298621416,car5,-0.862621,0.552285,0.140593,-0.035003,-0.025820,0.014205,0.000000,0.084946,-0.107047,0.012651,0.000000,0.029469,0.136656,0.000000,0.000000,-45.747681,-35.000000,-35.000000,-42.947402,1
2.640831,1788751052.468827724,car4,-0.868957,0.066069,0.139571,-0.097340,-0.014250,-0.011612,0.000000,0.128213,-0.017457,-0.001939,0.000000,0.018382,0.129396,0.000000,0.000000,-35.000000,-35.000000,-35.000000,-35.000000,1
2.640831,1788751052.468827724,car5,-0.886802,0.551529,0.139086,0.020702,0.014250,0.011612,0.000000,-0.051952,-0.050449,0.006091,0.000000,0.018382,0.072416,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000,1
