time_s,mocap_time_s,vehicle_id,x_m,y_m,z_m,yaw_rad,target_vx_mps,target_vy_mps,target_vz_mps,measured_vx_mps,measured_vy_mps,measured_vz_mps,target_heading_rad,target_speed_mps,measured_speed_mps,speed_command_mps,angle_command,front_left_command,front_right_command,rear_left_command,rear_right_command,command_sent
0.000000,1788750991.778885841,car4,-0.986713,0.172273,0.141923,-0.072882,0.234050,-0.057512,0.000000,0.006319,0.003556,0.010720,0.000000,0.241013,0.007251,0.000000,0.000000,87.103262,65.743927,59.913402,92.933788,1
0.000000,1788750991.778885841,car5,-0.379672,0.523107,0.131447,2.768852,-0.234050,0.057512,0.000000,0.000056,0.000246,-0.000624,0.000000,0.241013,0.000252,0.000000,0.000000,82.499708,49.115922,100.000000,31.615630,1
0.201691,1788750991.978632927,car4,-0.987420,0.172892,0.142623,-0.035193,0.234206,-0.057288,0.000000,0.001049,-0.000587,0.010219,0.000000,0.241110,0.001202,0.000000,0.000000,93.775086,60.655528,57.840068,96.590547,1
0.201691,1788750991.978632927,car5,-0.378527,0.523954,0.130087,2.710109,-0.234206,0.057288,0.000000,0.002332,0.001953,-0.005437,0.000000,0.241110,0.003042,0.000000,0.000000,72.846814,51.691674,100.000000,24.538488,1
0.403554,1788750992.188827276,car4,-0.911073,0.172006,0.140348,0.051971,0.233278,-0.057470,0.000000,0.328683,0.005334,-0.003787,0.000000,0.240253,0.328726,0.000000,0.000000,77.352617,21.162935,25.320618,73.194935,1
0.403554,1788750992.188827276,car5,-0.316671,0.525571,0.129920,2.399729,-0.233278,0.057470,0.000000,0.298564,0.007810,-0.003271,0.000000,0.240253,0.298666,0.000000,0.000000,31.641448,61.342939,100.000000,-7.015613,1
0.605470,1788750992.388708830,car4,-0.840086,0.175405,0.140954,0.046828,0.232029,-0.062178,0.000000,0.364409,0.015124,0.005457,0.000000,0.240215,0.364723,0.000000,0.000000,71.253044,6.842223,10.588428,67.506839,1
0.605470,1788750992.388708830,car5,-0.249362,0.517104,0.129134,2.064407,-0.232029,0.062178,0.000000,0.377149,-0.037385,0.001107,0.000000,0.240215,0.378997,0.000000,0.000000,17.708896,62.004313,100.000000,-20.286790,1
0.807291,1788750992.588762522,car4,-0.784792,0.168336,0.140343,0.017370,0.230419,-0.068897,0.000000,0.299948,-0.029902,-0.001206,0.000000,0.240499,0.301435,0.000000,0.000000,71.846150,11.834896,13.224461,70.456585,1
0.807291,1788750992.588762522,car5,-0.194362,0.491792,0.128726,1.815860,-0.230419,0.068897,0.000000,0.298415,-0.124176,-0.003692,0.000000,0.240499,0.323220,0.000000,0.000000,8.456501,61.516844,100.000000,-30.026655,1
1.009849,1788750992.798661470,car4,-0.742796,0.154733,0.139873,0.000734,0.230264,-0.072548,0.000000,0.204406,-0.064697,-0.001405,0.000000,0.241423,0.214400,0.000000,0.000000,79.234627,25.905957,25.964695,79.175889,1
1.009849,1788750992.798661470,car5,-0.139499,0.464655,0.128282,1.490101,-0.230264,0.072548,0.000000,0.275414,-0.135524,-0.001546,0.000000,0.241423,0.306952,0.000000,0.000000,-4.277011,59.410879,100.000000,-44.866132,1
1.211693,1788750992.998758793,car4,-0.696594,0.143429,0.139969,-0.044242,0.228636,-0.077491,0.000000,0.253661,-0.066260,0.005880,0.000000,0.241411,0.262172,0.000000,0.000000,70.901493,22.516742,18.977368,74.440866,1
1.211693,1788750992.998758793,car5,-0.097738,0.440460,0.127571,1.212544,-0.228636,0.077491,0.000000,0.250357,-0.147117,-0.002714,0.000000,0.241411,0.290383,0.000000,0.000000,-15.232995,55.825923,100.000000,-59.407072,1
1.413414,1788750993.198705912,car4,-0.649854,0.134008,0.139977,1.966736,0.226642,-0.082577,0.000000,0.255310,-0.052339,-0.006165,0.000000,0.241217,0.260620,0.000000,0.000000,37.995873,-100.000000,-41.063763,-20.940364,1
1.413414,1788750993.198705912,car5,-0.059080,0.418760,0.127189,0.842248,-0.226642,0.082577,0.000000,0.206994,-0.111317,-0.002276,0.000000,0.241217,0.235028,0.000000,0.000000,-49.785406,25.230557,75.445151,-100.000000,1
1.615316,1788750993.398650169,car4,-0.668108,0.140167,0.140488,1.595000,0.227819,-0.087367,0.000000,-0.074363,0.031201,0.003639,0.000000,0.243997,0.080643,0.000000,0.000000,50.307828,-100.000000,-57.107050,7.414878,1
1.615316,1788750993.398650169,car5,-0.024692,0.393423,0.128038,0.511472,-0.227819,0.087367,0.000000,0.180675,-0.129293,0.003337,0.000000,0.243997,0.222172,0.000000,0.000000,-70.512891,-2.657047,26.830062,-100.000000,1
1.817068,1788750993.578753233,car4,-0.684773,0.141486,0.140037,1.522138,0.230231,-0.085894,0.000000,-0.097469,0.009549,0.001968,0.000000,0.245732,0.097936,0.000000,0.000000,55.371473,-100.000000,-56.367477,11.738950,1
1.817068,1788750993.578753233,car5,0.011305,0.381796,0.127765,0.333679,-0.230231,0.085894,0.000000,0.186306,-0.078960,-0.000331,0.000000,0.245732,0.202348,0.000000,0.000000,-81.272340,-13.971510,4.756150,-100.000000,1
2.019219,1788750993.798767805,car4,-0.700953,0.145226,0.140854,1.514895,0.233836,-0.079792,0.000000,-0.085513,0.018572,0.003730,0.000000,0.247075,0.087507,0.000000,0.000000,53.640380,-100.000000,-57.157810,10.798190,1
2.019219,1788750993.798767805,car5,0.058472,0.386087,0.127874,0.301248,-0.233836,0.079792,0.000000,0.244085,0.018823,-0.000053,0.000000,0.247075,0.244810,0.000000,0.000000,-82.919092,-16.202068,0.878840,-100.000000,1
2.220794,1788750994.008965254,car4,-0.709484,0.142529,0.140420,1.332797,0.237506,-0.070925,0.000000,-0.049093,-0.009029,-0.002615,0.000000,0.247869,0.049916,0.000000,0.000000,79.243357,-100.000000,-50.895091,30.138448,1
2.220794,1788750994.008965254,car5,0.107065,0.398689,0.126453,0.268600,-0.237506,0.070925,0.000000,0.241195,0.058239,-0.003849,0.000000,0.247869,0.248126,0.000000,0.000000,-84.547636,-19.053114,-3.600750,-100.000000,1
2.422478,1788750994.198818445,car4,-0.707955,0.130814,0.140327,0.997926,0.240578,-0.061663,0.000000,0.010550,-0.056352,0.000372,0.000000,0.248355,0.057332,0.000000,0.000000,100.000000,-65.485790,-19.139359,53.653569,1
2.422478,1788750994.198818445,car5,0.156846,0.409154,0.126568,0.164624,-0.240578,0.061663,0.000000,0.262520,0.058746,-0.001361,0.000000,0.248355,0.269012,0.000000,0.000000,-90.028827,-24.210898,-14.239725,-100.000000,1
2.624488,1788750994.408753395,car4,-0.712811,0.112324,0.139921,0.615882,0.243450,-0.051371,0.000000,-0.019732,-0.091295,0.000080,0.000000,0.248811,0.093403,0.000000,0.000000,100.000000,-17.643683,14.152432,68.203885,1
2.624488,1788750994.408753395,car5,0.210496,0.417493,0.126274,0.015740,-0.243450,0.051371,0.000000,0.265618,0.043663,-0.000470,0.000000,0.248811,0.269183,0.000000,0.000000,-98.915197,-36.377456,-35.292653,-100.000000,1
2.826194,1788750994.608747244,car4,-0.724881,0.092940,0.140307,0.491267,0.245640,-0.042045,0.000000,-0.060962,-0.095113,0.000986,0.000000,0.249213,0.112973,0.000000,0.000000,100.000000,-7.279748,18.992568,73.727684,1
2.826194,1788750994.608747244,car5,0.268842,0.422849,0.126554,-0.143034,-0.245640,0.042045,0.000000,0.289120,0.025620,0.000044,0.000000,0.249213,0.290253,0.000000,0.000000,-100.000000,-56.557311,-67.778378,-88.778933,1
3.028850,1788750994.818705082,car4,-0.738944,0.078233,0.140145,0.434165,0.248996,-0.022381,0.000000,-0.071125,-0.076160,-0.000318,0.000000,0.250000,0.104207,0.000000,0.000000,100.000000,0.631765,24.475252,76.156514,1
3.028850,1788750994.818705082,car5,0.351208,0.440669,0.126050,-0.113352,-0.147595,0.031244,0.000000,0.397636,0.084555,-0.001949,0.000000,0.150866,0.406527,0.000000,0.000000,-71.408370,-48.664513,-57.732701,-62.340181,1
3.230657,1788750995.018714905,car4,-0.753442,0.051586,0.140434,0.306256,0.249632,-0.013558,0.000000,-0.071928,-0.122715,-0.001062,0.000000,0.250000,0.142241,0.000000,0.000000,100.000000,18.328691,37.206629,81.122062,1
3.230657,1788750995.018714905,car5,0.425752,0.461823,0.126067,-0.091405,-0.149021,0.018956,0.000000,0.385253,0.109096,0.000239,0.000000,0.150222,0.400402,0.000000,0.000000,-59.450363,-60.601506,-67.913903,-52.137966,1
3.433108,1788750995.218862534,car4,-0.777208,0.013118,0.139975,0.139576,0.249964,-0.004245,0.000000,-0.112319,-0.181062,-0.000028,0.000000,0.250000,0.213071,0.000000,0.000000,98.084043,60.692972,71.859046,86.917969,1
3.433108,1788750995.218862534,car5,0.495128,0.482862,0.126928,-0.068293,-0.149784,0.005940,0.000000,0.338869,0.099082,0.003787,0.000000,0.149902,0.353057,0.000000,0.000000,-51.702431,-68.233789,-73.697253,-46.238967,1
3.635337,1788750995.418875694,car4,-0.817587,-0.045740,0.139319,0.038097,0.249907,0.006820,0.000000,-0.209864,-0.316315,-0.003592,0.000000,0.250000,0.379602,0.000000,0.000000,49.294825,97.209251,100.000000,46.504076,1
3.635337,1788750995.418875694,car5,0.574453,0.507461,0.125657,-0.052794,-0.149751,-0.009545,0.000000,0.437643,0.136308,-0.005326,0.000000,0.150054,0.458379,0.000000,0.000000,-34.008334,-85.606951,-89.830504,-29.784781,1
3.837475,1788750995.618918657,car4,-0.860800,-0.109008,0.139148,0.035018,0.249428,0.016907,0.000000,-0.214752,-0.309627,-0.000497,0.000000,0.250000,0.376812,0.000000,0.000000,44.016077,97.521019,100.000000,41.537095,1
3.837475,1788750995.618918657,car5,0.644194,0.534001,0.125832,-0.037296,-0.148848,-0.023646,0.000000,0.342348,0.129743,0.002257,0.000000,0.150714,0.366108,0.000000,0.000000,-25.228335,-93.916635,-96.900337,-22.244632,1
4.039633,1788750995.828677416,car4,-0.902954,-0.174017,0.139433,0.036191,0.248627,0.026166,0.000000,-0.217348,-0.335418,0.003568,0.000000,0.250000,0.399681,0.000000,0.000000,41.738550,97.477125,100.000000,39.215675,1
4.039633,1788750995.828677416,car5,0.712673,0.564768,0.126739,-0.022071,-0.147299,-0.036550,0.000000,0.355442,0.155217,0.002765,0.000000,0.151766,0.387855,0.000000,0.000000,-22.215776,-96.366890,-98.132532,-20.450134,1
4.241795,1788750996.028725863,car4,-0.941024,-0.234348,0.139683,0.056456,0.247712,0.033745,0.000000,-0.197539,-0.314864,0.001507,0.000000,0.250000,0.371700,0.000000,0.000000,41.500739,96.108019,100.000000,37.608758,1
4.241795,1788750996.028725863,car5,0.773512,0.594351,0.126348,-0.014774,-0.145522,-0.047070,0.000000,0.318355,0.154999,-0.000831,0.000000,0.152945,0.354083,0.000000,0.000000,-19.710159,-98.214038,-99.395931,-18.528266,1
4.443769,1788750996.228732586,car4,-0.979587,-0.299862,0.139514,0.059178,0.246589,0.041154,0.000000,-0.192161,-0.324568,-0.000172,0.000000,0.250000,0.377187,0.000000,0.000000,39.856667,95.966927,100.000000,35.823595,1
4.443769,1788750996.228732586,car5,0.831174,0.626535,0.126260,-0.012598,-0.143341,-0.057302,0.000000,0.285256,0.158449,-0.000097,0.000000,0.154370,0.326309,0.000000,0.000000,-17.060521,-99.000622,-100.000000,-16.061143,1
4.645667,1788750996.428845644,car4,-1.015458,-0.362223,0.139887,0.065886,0.245383,0.047825,0.000000,-0.180050,-0.314267,-0.000360,0.000000,0.250000,0.362191,0.000000,0.000000,38.737098,95.553826,100.000000,34.290925,1
4.645667,1788750996.428845644,car5,0.886060,0.662156,0.127159,-0.027629,-0.141002,-0.066461,0.000000,0.284009,0.181302,0.003992,0.000000,0.155880,0.336945,0.000000,0.000000,-14.429533,-97.853949,-100.000000,-12.283482,1
4.848522,1788750996.638718605,car4,-1.052485,-0.427376,0.140735,-2.079799,0.244147,0.053779,0.000000,-0.180029,-0.318438,0.006535,0.000000,0.250000,0.365805,0.000000,0.000000,-100.000000,21.303839,-16.059507,-62.636654,1
4.848522,1788750996.638718605,car5,0.944510,0.696856,0.124735,-0.025130,-0.138613,-0.074587,0.000000,0.282606,0.165997,-0.010846,0.000000,0.157407,0.327752,0.000000,0.000000,-12.250647,-98.066071,-100.000000,-10.316718,1
5.050380,1788750996.838733196,car4,-1.040189,-0.418751,0.140048,-1.669286,0.243891,0.054930,0.000000,0.037532,0.006314,-0.003853,0.000000,0.250000,0.038060,0.000000,0.000000,-100.000000,52.850001,10.178911,-57.328910,1
5.050380,1788750996.838733196,car5,0.989084,0.730224,0.125284,0.006056,-0.138119,-0.076152,0.000000,0.235408,0.172241,-0.000964,0.000000,0.157721,0.291692,0.000000,0.000000,-12.046555,-100.000000,-99.529690,-12.516865,1
5.252015,1788750997.038735151,car4,-1.012779,-0.391535,0.140125,-1.437457,0.243854,0.055091,0.000000,0.134214,0.133149,-0.001648,0.000000,0.250000,0.189056,0.000000,0.000000,-100.000000,99.332445,44.871407,-45.538962,1
5.252015,1788750997.038735151,car5,1.032453,0.764618,0.124702,-0.009785,-0.138049,-0.076371,0.000000,0.219406,0.174458,-0.000711,0.000000,0.157766,0.280312,0.000000,0.000000,-11.902777,-99.242875,-100.000000,-11.145652,1
5.453946,1788750997.218733072,car4,-0.986159,-0.375799,0.139498,-1.136052,0.243618,0.056126,0.000000,0.148210,0.099097,-0.000763,0.000000,0.250000,0.178287,0.000000,0.000000,-72.499875,100.000000,52.487705,-24.987580,1
5.453946,1788750997.218733072,car5,1.068800,0.796896,0.124562,-0.011874,-0.137593,-0.077777,0.000000,0.216528,0.187363,-0.000318,0.000000,0.158054,0.286338,0.000000,0.000000,-11.501823,-99.083868,-100.000000,-10.585691,1
5.655802,1788750997.438849926,car4,-0.951482,-0.359219,0.139004,-0.661252,0.243255,0.057680,0.000000,0.170759,0.081382,-0.001936,0.000000,0.250000,0.189161,0.000000,0.000000,-38.681873,100.000000,60.356838,0.961290,1
5.655802,1788750997.438849926,car5,1.112247,0.836698,0.123810,-0.029295,-0.136893,-0.079884,0.000000,0.210374,0.194604,-0.002505,0.000000,0.158496,0.286580,0.000000,0.000000,-10.777052,-97.764612,-100.000000,-8.541664,1
5.858305,1788750997.638724804,car4,-0.916115,-0.351555,0.139606,-0.534111,0.242725,0.059869,0.000000,0.174651,0.040054,0.003362,0.000000,0.250000,0.179185,0.000000,0.000000,-30.995286,100.000000,67.602240,1.402474,1
5.858305,1788750997.638724804,car5,1.148869,0.873720,0.124018,-0.033464,-0.135874,-0.082845,0.000000,0.186641,0.186755,-0.000266,0.000000,0.159138,0.264031,0.000000,0.000000,-9.936988,-97.460348,-100.000000,-7.397336,1
6.060030,1788750997.848716736,car4,-0.865217,-0.356192,0.138483,-0.448096,0.241763,0.063646,0.000000,0.244293,-0.018992,-0.005430,0.000000,0.250000,0.245030,0.000000,0.000000,-36.612647,100.000000,69.523685,-6.136332,1
